dataset,image,n_raw,n_clean,retention,roi_center_x,roi_center_y,roi_radius
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,gallery/01_EE+0p2-data-225x225__EE_0.2data_rot_-22deg__arrow_segments.png,155,136,0.8774193548387097,75.0,75.0,58.5
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,gallery/02_EE+0p22-data-225x225__EE_0.22data_rot_35.5deg__arrow_segments.png,146,125,0.8561643835616438,75.0,75.0,58.5
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,gallery/03_EE+0p23-data-225x225__EE_0.23data_rot_0deg__arrow_segments.png,85,85,1.0,75.0,75.0,58.5
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,gallery/04_EE+0p4-data-225x225__EE_0.4data_rot_-67deg__arrow_segments.png,142,142,1.0,75.0,75.0,58.5
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,gallery/05_EE+0p42-data-225x225__EE_0.42data_rot_-7.5deg__arrow_segments.png,128,128,1.0,75.0,75.0,58.5
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,gallery/06_EE+0p43-data-225x225__EE_0.43data_rot_14.5deg__arrow_segments.png,129,129,1.0,75.0,75.0,58.5
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,gallery/07_EE+0p6-data-225x225__EE_0.6data_rot_39.5deg__arrow_segments.png,69,69,1.0,75.0,75.0,58.5
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,gallery/08_EE+0p62-data-225x225__EE_0.62data_rot_37.5deg__arrow_segments.png,68,68,1.0,75.0,75.0,58.5
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,gallery/09_EE+0p63-data-225x225__EE_0.63data_rot_-30.5deg__arrow_segments.png,87,87,1.0,75.0,75.0,58.5
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,gallery/10_EE+0p8-data-226x225__EE_0.8data_rot_0deg__arrow_segments.png,180,163,0.9055555555555556,75.0,75.0,58.5
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,gallery/11_EE+0p82-data-226x225__EE_0.82data_rot_-24.5deg__arrow_segments.png,126,123,0.9761904761904762,75.0,75.0,58.5
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,gallery/12_EE+0p83-data-226x225__EE_0.83data_rot_43deg__arrow_segments.png,196,158,0.8061224489795918,75.0,75.0,58.5
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,gallery/13_EE+1-data-225x225__EE_1data_rot_0deg__arrow_segments.png,203,194,0.9556650246305419,75.0,75.0,58.5
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,gallery/14_EE+12-data-225x225__EE_12data_rot_-41.5deg__arrow_segments.png,101,101,1.0,75.0,75.0,58.5
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,gallery/15_EE+13-data-225x225__EE_13data_rot_34.5deg__arrow_segments.png,80,80,1.0,75.0,75.0,58.5
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,gallery/16_EE-0p2-data-225x225__EE-0.2data_rot_62.5deg__arrow_segments.png,201,196,0.9751243781094527,75.0,75.0,58.5
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,gallery/17_EE-0p22-data-225x225__EE-0.22data_rot_0deg__arrow_segments.png,191,167,0.8743455497382199,75.0,75.0,58.5
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,gallery/18_EE-0p23-data-225x225__EE-0.23data_rot_90deg__arrow_segments.png,118,117,0.9915254237288136,75.0,75.0,58.5
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,gallery/19_EE-0p4-data-225x225__EE-0.4data_rot_31deg__arrow_segments.png,92,92,1.0,75.0,75.0,58.5
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,gallery/20_EE-0p42-data-225x225__EE-0.42data_rot_-12deg__arrow_segments.png,92,90,0.9782608695652174,75.0,75.0,58.5
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,gallery/21_EE-0p43-data-225x225__EE-0.43data_rot_56.5deg__arrow_segments.png,89,89,1.0,75.0,75.0,58.5
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,gallery/22_EE-0p6-data-225x225__EE-0.6data_rot_-67deg__arrow_segments.png,94,65,0.6914893617021277,75.0,75.0,58.5
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,gallery/23_EE-0p62-data-225x225__EE-0.62data_rot_27deg__arrow_segments.png,182,172,0.945054945054945,75.0,75.0,58.5
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,gallery/24_EE-0p63-data-225x225__EE-0.63data_rot_6deg__arrow_segments.png,99,41,0.41414141414141414,75.0,75.0,58.5
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,gallery/25_EE-0p8-data-226x225__EE-0.8data_rot_34deg__arrow_segments.png,68,68,1.0,75.0,75.0,58.5
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,gallery/26_EE-0p82-data-225x225__EE-0.82data_rot_37deg__arrow_segments.png,99,99,1.0,75.0,75.0,58.5
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,gallery/27_EE-0p83-data-226x225__EE-0.83data_rot_-41.5deg__arrow_segments.png,166,115,0.6927710843373494,75.0,75.0,58.5
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,gallery/28_EE-1-data-368x368__EE-1data_rot_58deg__arrow_segments.png,161,151,0.937888198757764,75.0,75.0,58.5
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,gallery/29_EE-1-data-368x368__EE-1data_rot_60.5deg__arrow_segments.png,163,154,0.9447852760736196,75.0,75.0,58.5
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,gallery/30_EE-12-data-368x368__EE-12data_rot_78.5deg__arrow_segments.png,117,117,1.0,75.0,75.0,58.5
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,gallery/31_EE-12-data-368x368__EE-12data_rot_80deg__arrow_segments.png,120,120,1.0,75.0,75.0,58.5
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,gallery/32_EE-13-data-225x225__EE-13data_rot_59deg__arrow_segments.png,143,143,1.0,75.0,75.0,58.5
