dataset,n,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,mean_test_mae_deg,family,p_median,sd_test_rss,gamma_median
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Gaussian RBF RKHS,gaussian_rbf,4.690706261919161,,0.035028277201688295,0.08772135412184076,9.092918132223426,kernel_gp_line_embedding_cv,,,
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Uniform RKHS,uniform,8.425169064649094,,0.1826910838133834,0.0688310584570496,9.124258190128144,kernel_gp_line_embedding_cv,,,
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,4.690706261919161,16.0,0.035028277201688295,0.08039436546747407,8.19516451744732,kernel_gp_line_embedding_cv,,,
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Gaussian RBF RKHS,gaussian_rbf,10.805040149371164,,0.5901983578550194,0.08683358045107538,10.342716722857784,kernel_gp_line_embedding_cv,,,
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Uniform RKHS,uniform,10.805040149371164,,0.39054704236325144,0.08963523221211736,10.605933049596969,kernel_gp_line_embedding_cv,,,
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,18.984779409205064,1.0,0.5901983578550194,0.08390957911588695,9.658718498322713,kernel_gp_line_embedding_cv,,,
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Gaussian RBF RKHS,gaussian_rbf,10.26367999023247,,0.6106195006888079,0.17179310196098152,15.42792152145609,kernel_gp_line_embedding_cv,,,
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Uniform RKHS,uniform,17.576023799500128,,0.2673753601707104,0.1674425865258977,16.571382268605106,kernel_gp_line_embedding_cv,,,
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,30.098036269113837,0.5,0.033923305593822665,0.16027376396747017,14.296946686100284,kernel_gp_line_embedding_cv,,,
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Gaussian RBF RKHS,gaussian_rbf,6.149604907861892,,0.4074716834544199,0.08854256707675519,10.02958505815921,kernel_gp_line_embedding_cv,,,
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Uniform RKHS,uniform,8.15148624069364,,0.269632842419718,0.09486831524405358,10.587192366169244,kernel_gp_line_embedding_cv,,,
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,136.5,4.0,0.6157750344029945,0.08760293189657328,10.834229468340274,kernel_gp_line_embedding_cv,,,
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.41288557392971104,0.1246335693952156,10.970149854827493,kernel_gp_line_embedding_cv,,,
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Uniform RKHS,uniform,8.002299015798979,,0.07916462059506703,0.11761374700091524,10.839038339621904,kernel_gp_line_embedding_cv,,,
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,126.0,4.0,0.27321533106046564,0.0908134368045854,9.364851560661029,kernel_gp_line_embedding_cv,,,
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Gaussian RBF RKHS,gaussian_rbf,24.10333202413078,,0.6163500293863753,0.24972775269786546,19.283701780705755,kernel_gp_line_embedding_cv,,,
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Uniform RKHS,uniform,8.002299015798979,,0.17858850028929138,0.23547951882314253,17.747041594098782,kernel_gp_line_embedding_cv,,,
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,126.0,8.0,0.6163500293863753,0.14455289480789046,13.093310785587416,kernel_gp_line_embedding_cv,,,
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Gaussian RBF RKHS,gaussian_rbf,26.601570905772743,,0.03385207572887635,0.2119563297795585,18.04525019383295,kernel_gp_line_embedding_cv,,,
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Uniform RKHS,uniform,20.64440540250895,,0.6093373631197743,0.22710078422700883,20.049222240827937,kernel_gp_line_embedding_cv,,,
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,94.5,1.0,0.6093373631197743,0.16625926943723762,15.460984877992852,kernel_gp_line_embedding_cv,,,
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Gaussian RBF RKHS,gaussian_rbf,16.021289717542732,,0.6082959952905242,0.1746344075598902,16.456561241398596,kernel_gp_line_embedding_cv,,,
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Uniform RKHS,uniform,20.64440540250895,,0.07717768356277832,0.1925716752691206,17.371835444613218,kernel_gp_line_embedding_cv,,,
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,56.914378615859725,1.0,0.11663164013783378,0.10791626256820046,12.799466318809976,kernel_gp_line_embedding_cv,,,
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Gaussian RBF RKHS,gaussian_rbf,12.947669461618,,0.597209986122405,0.17043304746631302,15.711936155472802,kernel_gp_line_embedding_cv,,,
