dataset,n,model,kernel,bandwidth,kappa,sigma_n,evidence_score,family,p,rss_per_point,mae_deg,bic
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,27.180622440486303,0.5,0.2760844814211254,-148.09728124536466,kernel_gp_line_embedding_lml,,,,
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Gaussian RBF RKHS,gaussian_rbf,14.322405654896652,,0.25843344067072316,-142.63227421471925,kernel_gp_line_embedding_lml,,,,
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Parametric p=1 (Archimedean),,,,,-108.29636744192675,parametric_fixed_p,1.0,0.7103526588785645,40.79618911054593,216.5927348838535
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,77.68791770496118,1.0,0.4074716834544199,-168.1608748397457,kernel_gp_line_embedding_lml,,,,
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,126.0,2.0,0.27321533106046564,-125.07286550786685,kernel_gp_line_embedding_lml,,,,
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Parametric p=2 (Fermat),,,,,-153.74177101587486,parametric_fixed_p,2.0,0.6114288513166044,36.92046070601437,307.4835420317497
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Parametric p=0 (Logarithmic),,,,,-81.43526630872647,parametric_fixed_p,0.0,0.5834488877338154,34.57379110020357,162.87053261745294
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Parametric p=0 (Logarithmic),,,,,-79.69724764553678,parametric_fixed_p,0.0,0.5735604429509625,34.72424886289843,159.39449529107355
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Parametric p=1 (Archimedean),,,,,-99.09389961861179,parametric_fixed_p,1.0,0.5427053918409085,35.02837277079943,198.18779923722357
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,87.68800134256274,1.0,0.411004450253859,-194.87996500887127,kernel_gp_line_embedding_lml,,,,
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Parametric p=2 (Fermat),,,,,-145.2825364751013,parametric_fixed_p,2.0,0.5976901218702474,36.60921702565563,290.5650729502026
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,37.90338847138779,1.0,0.2546004188808181,-125.8705259449986,kernel_gp_line_embedding_lml,,,,
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,68.75915559445191,1.0,0.27629904218184703,-152.83938001739,kernel_gp_line_embedding_lml,,,,
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Parametric p=2 (Fermat),,,,,-123.40861124748673,parametric_fixed_p,2.0,0.6441417600731042,38.97485077807982,246.81722249497346
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Parametric p=0 (Logarithmic),,,,,-95.87250117406359,parametric_fixed_p,0.0,0.6090591619136514,37.021591212110835,191.74500234812717
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,117.51961628363846,1.0,0.277884764914374,-179.0264163452326,kernel_gp_line_embedding_lml,,,,
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,157.5,1.0,0.2728529511538054,-65.61514237078308,kernel_gp_line_embedding_lml,,,,
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,26.189388284631097,1.0,0.27525172039506307,-138.52964622953053,kernel_gp_line_embedding_lml,,,,
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Parametric p=0 (Logarithmic),,,,,-105.73356468258727,parametric_fixed_p,0.0,0.555175394920694,35.05044285901068,211.46712936517454
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Parametric p=1 (Archimedean),,,,,-110.4343906211657,parametric_fixed_p,1.0,0.648056508293039,38.80414618057863,220.8687812423314
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,36.87146991197789,1.0,0.2769383741974842,-93.35935735059178,kernel_gp_line_embedding_lml,,,,
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Parametric p=0 (Logarithmic),,,,,-81.0786331843825,parametric_fixed_p,0.0,0.6653971263290609,38.93932197627053,162.157266368765
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Parametric p=1 (Archimedean),,,,,-210.17221371236653,parametric_fixed_p,1.0,0.654462225900545,38.596831690778785,420.34442742473306
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Parametric p=0 (Logarithmic),,,,,-50.709583488629065,parametric_fixed_p,0.0,0.6345661284467842,37.4037120975455,101.41916697725813
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Parametric p=2 (Fermat),,,,,-76.37062613639988,parametric_fixed_p,2.0,0.5201002154560562,33.91983563069232,152.74125227279976
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Parametric p=0 (Logarithmic),,,,,-105.0343931571364,parametric_fixed_p,0.0,0.46655214489325486,32.07306197449973,210.0687863142728
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Parametric p=0 (Logarithmic),,,,,-141.71061699366751,parametric_fixed_p,0.0,0.6606012483331135,39.192178632645756,283.42123398733503
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,147.0,2.0,0.2771344846030162,-122.65767027563768,kernel_gp_line_embedding_lml,,,,
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,147.0,2.0,0.2773978604900863,-121.79341691187119,kernel_gp_line_embedding_lml,,,,
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Parametric p=0 (Logarithmic),,,,,-137.427697909123,parametric_fixed_p,0.0,0.5889653117770328,36.67192820852811,274.855395818246
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,126.0,1.0,0.41205924932869187,-135.9688640255299,kernel_gp_line_embedding_lml,,,,
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,46.543175935761376,1.0,0.2763709260364653,-136.89714189569855,kernel_gp_line_embedding_lml,,,,
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,62.0470795270879,1.0,0.2768362503549544,-139.02450082034008,kernel_gp_line_embedding_lml,,,,
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,34.913282666938585,0.5,0.2775033609463915,-131.3723884213107,kernel_gp_line_embedding_lml,,,,
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,147.0,1.0,0.2781200449372879,-120.82778055371176,kernel_gp_line_embedding_lml,,,,
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Parametric p=2 (Fermat),,,,,-183.09691763889396,parametric_fixed_p,2.0,0.7589227729735878,42.614155976533866,366.1938352777879
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,Parametric p=0 (Logarithmic),,,,,-178.19449015614393,parametric_fixed_p,0.0,0.7760857047547317,43.94787906266252,356.38898031228786
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,Parametric p=0 (Logarithmic),,,,,-129.53485432296992,parametric_fixed_p,0.0,0.6604261702905742,39.64101856173396,259.06970864593984
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,Parametric p=0 (Logarithmic),,,,,-124.79509467471287,parametric_fixed_p,0.0,0.6314928159728164,38.067173911426295,249.59018934942574
