dataset,n,model,kernel,bandwidth,kappa,sigma_n,evidence_score
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Gaussian RBF RKHS,gaussian_rbf,15.132790203511458,,0.2760844814211254,-156.81491013712235
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Uniform RKHS,uniform,117.51961628363846,,0.6305089896303894,-298.98273244568213
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,27.180622440486303,0.5,0.2760844814211254,-148.09728124536466
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Gaussian RBF RKHS,gaussian_rbf,14.322405654896652,,0.25843344067072316,-142.63227421471925
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Uniform RKHS,uniform,102.97767120462187,,0.5901983578550194,-260.35046679488374
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,14.322405654896652,0.0,0.25843344067072316,-142.63227421471925
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Gaussian RBF RKHS,gaussian_rbf,17.576023799500128,,0.40406015508081133,-119.23135042917478
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Uniform RKHS,uniform,88.2618893144557,,0.6106195006888079,-183.4855667774271
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,17.576023799500128,0.0,0.40406015508081133,-119.23135042917478
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Gaussian RBF RKHS,gaussian_rbf,25.164896030783254,,0.4074716834544199,-175.10725830394236
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Uniform RKHS,uniform,102.97767120462187,,0.6157750344029945,-305.4066109399266
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,77.68791770496118,1.0,0.4074716834544199,-168.1608748397457
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Gaussian RBF RKHS,gaussian_rbf,13.888198952138389,,0.27321533106046564,-159.01346157801157
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Uniform RKHS,uniform,95.64339158873616,,0.6239565565284437,-279.65880416375194
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,126.0,2.0,0.27321533106046564,-125.07286550786685
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Gaussian RBF RKHS,gaussian_rbf,18.29622558235923,,0.4078521700944526,-212.41223840827084
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Uniform RKHS,uniform,95.64339158873616,,0.6163500293863753,-279.9509901850447
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,126.0,1.0,0.4078521700944526,-187.12089786976534
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Gaussian RBF RKHS,gaussian_rbf,16.021289717542732,,0.4032117368688245,-108.98914385972233
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Uniform RKHS,uniform,73.33763548955437,,0.6093373631197743,-149.1622829373809
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,94.5,1.0,0.4032117368688245,-92.93029950501455
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Gaussian RBF RKHS,gaussian_rbf,16.021289717542732,,0.4025226412108767,-108.0646288142274
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Uniform RKHS,uniform,73.33763548955437,,0.6082959952905242,-146.60302350366413
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,94.5,1.0,0.4025226412108767,-93.29572282244905
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Gaussian RBF RKHS,gaussian_rbf,16.81962526923401,,0.39518678872230634,-131.04877364154822
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Uniform RKHS,uniform,80.82851262784433,,0.597209986122405,-185.21567239518964
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,105.0,1.0,0.39518678872230634,-113.98385205252174
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Gaussian RBF RKHS,gaussian_rbf,20.280992505120025,,0.411004450253859,-203.17634080776247
