dataset,n,model,family,mean_test_rss,sd_test_rss,mean_test_mae_deg,p_median,gamma_median
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6931179612562872,0.21822317783008155,41.005358347720794,0.0,-1.6088155739940802
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Parametric p=1 (Archimedean),parametric_fixed_p,0.6899365701105727,0.2252435153154214,40.863619102192025,1.0,-0.6700938964897838
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Parametric p=2 (Fermat),parametric_fixed_p,0.6936751124424378,0.23230991427309358,40.90426273401964,2.0,0.047178722213922886
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Parametric continuous p,parametric_continuous_p,0.7142733540548579,0.21129276716734322,41.63646427522164,-0.999,-1.574100430958675
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6595343776394078,0.15809615005977828,39.24181773404821,0.0,-1.5773755824009172
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Parametric p=1 (Archimedean),parametric_fixed_p,0.652291716381182,0.1636581019760616,38.98681878731145,1.0,0.8377995782060698
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Parametric p=2 (Fermat),parametric_fixed_p,0.6629951407947395,0.16471643214639686,39.24567687169742,2.0,-2.836734166013775
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Parametric continuous p,parametric_continuous_p,0.6602858808506139,0.16074874053005914,39.14283915556463,2.999,-1.5419377343148417
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Parametric p=0 (Logarithmic),parametric_fixed_p,0.8318468615360459,0.22155375326880417,44.861943790898735,0.0,0.10520369465086943
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Parametric p=1 (Archimedean),parametric_fixed_p,0.8263201547925503,0.24307407560521033,44.96562761999669,1.0,-0.12397864602904426
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Parametric p=2 (Fermat),parametric_fixed_p,0.7643845364337861,0.25256452819261094,42.97063631466566,2.0,-0.0282017769181391
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Parametric continuous p,parametric_continuous_p,0.9544797862303811,0.25819886326866953,48.24317239704817,-0.739746362544893,-0.022853159473847806
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6815096595103137,0.15609746375503097,40.31197963122614,0.0,-1.5847481621878239
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Parametric p=1 (Archimedean),parametric_fixed_p,0.6812040418405801,0.15612553918149077,40.461260997719435,1.0,-1.7104578979469296
