dataset,n,model,family,p,gamma,rss,rss_per_point,mae_deg,log_likelihood,bic,bic_log_evidence,k_params
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-1.6312920161031395,91.84630583280506,0.6753404840647431,40.499352403589526,-166.28303649320998,337.478727872156,-168.739363936078,1
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,0.5841739918091882,91.73805473709034,0.6745445201256642,40.43581921248508,-166.2028436560982,337.31834219793245,-168.65917109896623,1
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Parametric p=2 (Fermat),parametric_fixed_p,2.0,0.05914376847112119,91.80492355128499,0.6750362025829778,40.41414005695178,-166.252391501609,337.41743788895405,-168.70871894447703,1
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Parametric continuous p,parametric_continuous_p,1.2356051244771264,-2.807494009078823,91.72937295580121,0.6744806834985383,40.422217487150725,-166.1964080600305,342.21812589153313,-171.10906294576657,2
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-1.6127365938315101,81.1225106665799,0.6489800853326392,38.9687130451233,-150.34523865642365,305.5187910501496,-152.7593955250748,1
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,1.1258591020879685,81.06981634041382,0.6485585307233106,38.882395737045215,-150.3046276662242,305.43756906975074,-152.71878453487537,1
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-2.861697128661882,80.94034660178478,0.6475227728142783,38.83437240259494,-150.20473442199875,305.2377825812998,-152.6188912906499,1
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Parametric continuous p,parametric_continuous_p,2.999,0.07033285003664504,80.82106541586322,0.6465685233269057,38.786118350435345,-150.11256070295997,309.8817488805245,-154.94087444026226,2
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.8145421736061538,60.39504719526977,0.7105299670031737,40.7942134023601,-106.08564873531996,216.61394872713024,-108.30697436356512,1
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-0.126606752092894,60.37997600467798,0.7103526588785645,40.79618911054593,-106.0750418136816,216.5927348838535,-108.29636744192675,1
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Parametric p=2 (Fermat),parametric_fixed_p,2.0,3.0298607044998556,60.72063160153071,0.7143603717827143,41.23278336078926,-106.31414715493696,217.07094556636423,-108.53547278318212,1
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Parametric continuous p,parametric_continuous_p,1.3959765781951539,3.1000929854330055,60.08849934098903,0.7069235216586944,41.03021199131219,-105.8693816632661,220.62406583951284,-110.31203291975642,2
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-1.5867361187025364,95.56605812763993,0.6730004093495771,40.05037080106215,-173.37260849756234,351.70104405272593,-175.85052202636297,1
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-1.7715286184794339,95.58275411731574,0.6731179867416601,40.07892169839069,-173.38501155940796,351.72585017641717,-175.86292508820858,1
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Parametric p=2 (Fermat),parametric_fixed_p,2.0,1.2015607475588446,95.59768174262382,0.673223110863548,40.05477863009126,-173.39609911022623,351.7480252780537,-175.87401263902686,1
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Parametric continuous p,parametric_continuous_p,-0.637609078261996,-1.5726020778962466,95.56304641056019,0.6729792000743675,40.043377810266655,-173.37037093240244,356.6523959800074,-178.3261979900037,2
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-1.5965208249414375,76.67513707556569,0.5990245084028569,37.72679484206334,-148.82715521512233,302.5063406941643,-151.25317034708215,1
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,1.6139362731558202,76.7587779991632,0.5996779531184625,37.751367485473466,-148.89693143947108,302.6458931428618,-151.3229465714309,1
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Parametric p=2 (Fermat),parametric_fixed_p,2.0,1.9591247353352457,76.74743622572032,0.59958934551344,37.7853021274934,-148.88747418713336,302.62697863818636,-151.31348931909318,1
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Parametric continuous p,parametric_continuous_p,-0.39237334701995275,1.5634823461072764,76.66276587542879,0.5989278584017874,37.73088080118305,-148.81682826013935,307.33771704811795,-153.66885852405898,2
