dataset,n,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,mean_test_mae_deg,family,p_median,sd_test_rss,gamma_median
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Uniform RKHS,uniform,8.425169064649094,,0.1826910838133834,0.0688310584570496,9.124258190128144,kernel_gp_line_embedding_cv,,,
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,18.984779409205064,1.0,0.5901983578550194,0.08390957911588695,9.658718498322713,kernel_gp_line_embedding_cv,,,
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,30.098036269113837,0.5,0.033923305593822665,0.16027376396747017,14.296946686100284,kernel_gp_line_embedding_cv,,,
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,136.5,4.0,0.6157750344029945,0.08760293189657328,10.834229468340274,kernel_gp_line_embedding_cv,,,
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,126.0,4.0,0.27321533106046564,0.0908134368045854,9.364851560661029,kernel_gp_line_embedding_cv,,,
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,126.0,8.0,0.6163500293863753,0.14455289480789046,13.093310785587416,kernel_gp_line_embedding_cv,,,
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,94.5,1.0,0.6093373631197743,0.16625926943723762,15.460984877992852,kernel_gp_line_embedding_cv,,,
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,56.914378615859725,1.0,0.11663164013783378,0.10791626256820046,12.799466318809976,kernel_gp_line_embedding_cv,,,
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,80.82851262784433,2.0,0.033178332562355826,0.10585276796120857,12.633494660036103,kernel_gp_line_embedding_cv,,,
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Uniform RKHS,uniform,11.291426654079174,,0.411004450253859,0.10063284645235035,10.742146519923274,kernel_gp_line_embedding_cv,,,
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,33.35682646557795,2.0,0.26990283030122536,0.1621787036613138,14.358112146438675,kernel_gp_line_embedding_cv,,,
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,6.349222438575564,1.0,0.1684746140936807,0.06278076860716456,8.90276275360714,kernel_gp_line_embedding_cv,,,
