dataset,n,estimator,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds,p_median,gamma_median
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,1.0,,,0.6078462315199076,0.16151557228704813,37.80494105961582,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,1.7551519149409924,,,0.6043407047200473,0.1703042828095909,37.51490609519391,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,3.0805582445210327,,,0.6045301139141153,0.17297592166149972,37.46657582758921,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,5.406847701958353,,,0.6046176862600847,0.1739420027282528,37.450800623193395,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,9.489839097886508,,,0.6045505297718344,0.17430732404796367,37.443131052935264,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,16.656109265137406,,,0.5964128010041356,0.1786021308835824,37.22015041827912,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,29.234002072172323,,,0.5760901086639953,0.1824147569936425,36.402988956064846,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,51.31011471836219,,,0.5805544317334124,0.18077349561315115,35.5982524220914,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,90.0570461037754,,,0.5810346732795544,0.18763761758977385,35.5034548431049,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,158.06379692297065,,,0.583848920464107,0.1916094831396623,35.66517218185,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,277.4259758521961,,,0.5850219939516451,0.1946082906790421,35.70716566643658,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,486.92473277135554,,,0.585854361967214,0.19617611466531334,35.72630168142139,20,,
