dataset,n,estimator,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds,p_median,gamma_median
Front_EE-1_1_3000x_rings_coords.csv,168,GP/KRR,GP/KRR RBF-von-Mises pitch,multiplicative_pitch,29.234002072172323,32.0,0.56,0.2705317939651936,0.17513504752473266,21.854564047078874,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,GP/KRR,GP/KRR RBF pitch,rbf_pitch,486.92473277135554,,0.06,0.5330270190812221,0.18357736410393452,34.92788982111439,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,GP/KRR,GP/KRR uniform pitch,uniform_pitch,277.4259758521961,,1.0,0.5714985706874167,0.1845938454240486,35.80550113370218,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF-von-Mises pitch,multiplicative_pitch,29.234002072172323,64.0,,0.3127421292175398,0.20387535400382056,23.95257874837041,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW RBF pitch,rbf_pitch,29.234002072172323,,,0.5760901086639953,0.1824147569936425,36.402988956064846,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Nadaraya-Watson,NW uniform pitch,uniform_pitch,51.31011471836219,,,0.568613016088605,0.18455403888569472,35.49298144959276,20,,
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric,Parametric p=0 (Logarithmic),parametric,,,,0.5838628871803919,0.19633920851533926,35.65041594963932,20,0.0,-2.6929497682579697
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric,Parametric p=1 (Archimedean),parametric,,,,0.6193575889773728,0.20564581284476627,37.893883448420056,20,1.0,1.540879534518703
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric,Parametric p=2 (Fermat),parametric,,,,0.6542684196127995,0.16734651461968414,39.85045190762567,20,2.0,-1.5728405777732077
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric,Parametric continuous p,parametric,,,,0.5760041509061807,0.1840319803182169,35.31970994829055,20,-0.999,-3.137985687715692
Front_EE-1_2_3000x_rings_coords.csv,129,GP/KRR,GP/KRR RBF-von-Mises pitch,multiplicative_pitch,51.31011471836219,16.0,0.56,0.2200172645277248,0.14976198808853902,18.704423048402674,20,,
Front_EE-1_2_3000x_rings_coords.csv,129,GP/KRR,GP/KRR RBF pitch,rbf_pitch,1500.0,,1.0,0.7383705445245585,0.23968775579867077,41.38221065562344,20,,
Front_EE-1_2_3000x_rings_coords.csv,129,GP/KRR,GP/KRR uniform pitch,uniform_pitch,486.92473277135554,,1.0,0.7341889377771128,0.2302456487398779,41.3410337204064,20,,
Front_EE-1_2_3000x_rings_coords.csv,129,Nadaraya-Watson,NW RBF-von-Mises pitch,multiplicative_pitch,29.234002072172323,64.0,,0.24263913175367038,0.16126913150198438,20.625643257060116,20,,
Front_EE-1_2_3000x_rings_coords.csv,129,Nadaraya-Watson,NW RBF pitch,rbf_pitch,1500.0,,,0.734247027979847,0.23038042265125389,41.34192296469322,20,,
Front_EE-1_2_3000x_rings_coords.csv,129,Nadaraya-Watson,NW uniform pitch,uniform_pitch,486.92473277135554,,,0.7341889377771081,0.2302456487398714,41.34103372040636,20,,
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric,Parametric p=0 (Logarithmic),parametric,,,,0.7654297163829905,0.214917276986779,43.06922854598956,20,0.0,-2.5510392923033463
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric,Parametric p=1 (Archimedean),parametric,,,,0.7129246084232008,0.19469155420428655,41.583350764620086,20,1.0,-1.5815120258139816
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric,Parametric p=2 (Fermat),parametric,,,,0.8131736595372349,0.26434805234104647,45.00365541833315,20,2.0,-1.5708718030682214
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric,Parametric continuous p,parametric,,,,0.7490162402678165,0.21512948525947448,42.973257458323516,20,0.9226795462712585,-1.5795183464993128
Front_EE-1_3_3000x_rings_coords.csv,178,GP/KRR,GP/KRR RBF-von-Mises pitch,multiplicative_pitch,51.31011471836219,4.0,0.1,0.5240133191414643,0.2923346349243797,32.72705902370579,20,,
Front_EE-1_3_3000x_rings_coords.csv,178,GP/KRR,GP/KRR RBF pitch,rbf_pitch,90.0570461037754,,1.0,0.6373335647455105,0.22030525965239658,37.62511133692411,20,,
Front_EE-1_3_3000x_rings_coords.csv,178,GP/KRR,GP/KRR uniform pitch,uniform_pitch,158.06379692297065,,0.32,0.6507987926747342,0.20099437758232466,38.14573121817095,20,,
Front_EE-1_3_3000x_rings_coords.csv,178,Nadaraya-Watson,NW RBF-von-Mises pitch,multiplicative_pitch,90.0570461037754,1.0,,0.503013189368242,0.21074643395736445,34.06717341949157,20,,
Front_EE-1_3_3000x_rings_coords.csv,178,Nadaraya-Watson,NW RBF pitch,rbf_pitch,51.31011471836219,,,0.6358478543569414,0.25204598667015665,37.7660105053897,20,,
Front_EE-1_3_3000x_rings_coords.csv,178,Nadaraya-Watson,NW uniform pitch,uniform_pitch,51.31011471836219,,,0.6365634320802711,0.22712387354400307,38.022717940350475,20,,
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric,Parametric p=0 (Logarithmic),parametric,,,,0.7099082220039792,0.24568846341253167,41.32985967836068,20,0.0,-1.8348589628404905
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric,Parametric p=1 (Archimedean),parametric,,,,0.7237287931019585,0.24774847130706237,41.830643274685904,20,1.0,-1.57153852939659
