estimator,model,kernel,datasets,mean_test_rss_mean,mean_test_rss_median,mean_test_mae_deg_mean
GP/KRR,GP/KRR RBF-von-Mises pitch,multiplicative_pitch,10,0.34066258810933175,0.32219703862000376,24.87980007568334
Nadaraya-Watson,NW RBF-von-Mises pitch,multiplicative_pitch,10,0.3527180961498376,0.32969000321450814,25.915225630348935
GP/KRR,GP/KRR RBF pitch,rbf_pitch,10,0.5465815113983628,0.5829176589520584,34.455467133326614
Nadaraya-Watson,NW uniform pitch,uniform_pitch,10,0.5512737193637752,0.5907219893645784,34.72918400099
Nadaraya-Watson,NW RBF pitch,rbf_pitch,10,0.5520153727808218,0.5857762671736579,34.70402161710608
GP/KRR,GP/KRR uniform pitch,uniform_pitch,10,0.5626028044202327,0.6018816495463686,35.08822727721845
Parametric,Parametric continuous p,parametric,10,0.5851219030792141,0.5955485266507701,36.325867352614736
Parametric,Parametric p=0 (Logarithmic),parametric,10,0.6424941001302484,0.6473647093567627,38.39032675921919
Parametric,Parametric p=1 (Archimedean),parametric,10,0.6795472937536637,0.6774580558377525,39.81672850999421
Parametric,Parametric p=2 (Fermat),parametric,10,0.7432886768071221,0.7623305186892355,42.12838676718783
