dataset,n,estimator,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW RBF line field,rbf,1.0,,,0.2790265560462438,0.26187725976028275,22.114932069613847,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW RBF line field,rbf,2.1608857798687535,,,0.22788107095159651,0.23675828093447907,18.953821176235405,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW RBF line field,rbf,4.669427353638992,,,0.23177375959365895,0.24709731166814836,18.816858988154472,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW RBF line field,rbf,10.090099168608685,,,0.25916111700537736,0.26967475731154655,20.184865291671233,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW RBF line field,rbf,21.80355181091204,,,0.44722785982759783,0.4306074767111907,30.46755399846763,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW RBF line field,rbf,47.11498505883144,,,0.9665421109060588,0.5109502999476958,50.919585437627504,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW RBF line field,rbf,101.81010123235768,,,0.967309705461506,0.48429118561634726,51.05197243825381,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW RBF line field,rbf,220.0,,,0.9527434155974224,0.48308285134301765,50.59217398847939,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,1.0,,0.03,0.22732423006030084,0.23697422946110308,18.85708957141771,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,1.0,,0.06,0.22732423006029703,0.23697422946110697,18.857089571417728,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,1.0,,0.1,0.22732423006028787,0.23697422946111588,18.857089571417763,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,1.0,,0.18,0.22732423006025684,0.23697422946114663,18.857089571417895,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,1.0,,0.32,0.22732423006016797,0.23697422946123453,18.857089571418268,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,1.0,,0.56,0.22732423005995717,0.23697422946144303,18.857089571419145,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,1.0,,1.0,0.2273242300595797,0.23697422946181648,18.85708957142073,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,2.1608857798687535,,0.03,0.22736571090120705,0.23697689211594813,18.833911377974427,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,2.1608857798687535,,0.06,0.2273647621116091,0.23697778501535685,18.83391428906544,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,2.1608857798687535,,0.1,0.22736253610767626,0.23697988142553061,18.83392119690322,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,2.1608857798687535,,0.18,0.2273549909810176,0.23698700341660597,18.833945433663082,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,2.1608857798687535,,0.32,0.22733363317135832,0.23700730187513971,18.834021149730766,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,2.1608857798687535,,0.56,0.22728444190342878,0.2370548830033487,18.834238945925613,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,2.1608857798687535,,1.0,0.22720146760132093,0.237138146368323,18.834769119480093,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,4.669427353638992,,0.03,0.23964052924195722,0.23978069971635768,18.250730962940032,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,4.669427353638992,,0.06,0.23958529142852955,0.23982717722343827,18.24772913985592,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,4.669427353638992,,0.1,0.23946109796591605,0.23993523717576246,18.240880198456786,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,4.669427353638992,,0.18,0.23908727005381997,0.2402909901168889,18.220234047694884,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,4.669427353638992,,0.32,0.23826897741592407,0.2412079195852182,18.21749820125138,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,4.669427353638992,,0.56,0.23682065897921745,0.24283055645711676,18.248129541890133,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,4.669427353638992,,1.0,0.23504525601091011,0.24407840712842516,18.32835015701497,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,0.03,0.532763481761619,0.24037451701940069,33.07587684897891,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,0.06,0.46707049939334827,0.26634990021671073,29.580397199214055,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,0.1,0.38828134954298865,0.2789776033580672,25.536346263471117,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,0.18,0.3368874945665441,0.2743419762335852,22.376616968962544,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,0.32,0.29069370639556924,0.2826005278557323,19.383456621883404,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,0.56,0.25438561715345076,0.27540131820978,17.627118531096,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,1.0,0.2217841412703292,0.24828845770870708,16.605896838162515,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,0.03,0.2958615027978896,0.27485687323370334,21.565014616245332,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,0.06,0.27808517649673703,0.2602816059214505,20.517775547193743,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,0.1,0.2613698139292893,0.25538215217377647,19.25482931467882,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,0.18,0.23643913624165513,0.24580301386661513,17.814771813950024,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,0.32,0.22597638736858175,0.24260792780816354,17.425583220076568,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,0.56,0.2226410816805274,0.2381901874669214,17.0446552405397,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,1.0,0.20322350117987073,0.21778513111728717,16.1945792169116,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,47.11498505883144,,0.03,0.2129317442089317,0.22565171268564602,17.235794998865167,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,47.11498505883144,,0.06,0.21262206343443904,0.22491830228805995,17.128850984587274,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,47.11498505883144,,0.1,0.23560705593531703,0.2371446178826916,17.83860733844753,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,47.11498505883144,,0.18,0.2405722364116089,0.2406714092783261,18.11005090598685,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,47.11498505883144,,0.32,0.23903249123926917,0.24024229989744217,18.06762262228312,10
