dataset,n,estimator,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,47.11498505883144,0.5,1.0,0.16507882158964432,0.18982746923400398,14.099089541599671,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,1.0,0.20322350117987073,0.21778513111728717,16.1945792169116,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.32,0.6090772008480436,0.2130960124715898,37.17798712964404,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,4.669427353638992,32.0,,0.2194739257234739,0.24926150558954172,17.634105481129787,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW RBF line field,rbf,2.1608857798687535,,,0.22788107095159651,0.23675828093447907,18.953821176235405,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW uniform line field,uniform,21.80355181091204,,,0.2338562197345468,0.23181289006736172,19.57411668264634,10
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,101.81010123235768,0.5,0.1,0.15220982027412686,0.17221706453575034,14.626659344439407,10
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,GP/KRR,GP/KRR RBF line field,rbf,47.11498505883144,,0.1,0.15243995373866595,0.1425667340718785,15.602914158446671,10
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,0.03,0.468526768110394,0.3601383675995789,32.64749294771145,10
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,4.669427353638992,2.0,,0.2239623354918495,0.21872870077133097,18.209359487630188,10
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Nadaraya-Watson,NW RBF line field,rbf,4.669427353638992,,,0.22592036258183695,0.21606745590348783,18.531870389797508,10
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Nadaraya-Watson,NW uniform line field,uniform,10.090099168608685,,,0.2489859846280468,0.2204389022353058,19.794648751241297,10
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,21.80355181091204,0.0,0.18,0.18933751157370068,0.16729318372985474,17.43610757653328,10
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,0.18,0.18933751157370068,0.16729318372985474,17.43610757653328,10
