dataset,n_raw,n_clean,retention,roi_center_x,roi_center_y,roi_radius
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,155,136,0.8774193548387097,75.0,75.0,58.5
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,146,125,0.8561643835616438,75.0,75.0,58.5
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,85,1.0,75.0,75.0,58.5
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,142,1.0,75.0,75.0,58.5
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,128,1.0,75.0,75.0,58.5
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,129,1.0,75.0,75.0,58.5
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,69,1.0,75.0,75.0,58.5
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,68,1.0,75.0,75.0,58.5
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,87,1.0,75.0,75.0,58.5
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,180,163,0.9055555555555556,75.0,75.0,58.5
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,126,123,0.9761904761904762,75.0,75.0,58.5
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,196,158,0.8061224489795918,75.0,75.0,58.5
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,203,194,0.9556650246305419,75.0,75.0,58.5
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,101,1.0,75.0,75.0,58.5
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,80,1.0,75.0,75.0,58.5
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,201,196,0.9751243781094527,75.0,75.0,58.5
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,191,167,0.8743455497382199,75.0,75.0,58.5
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,118,117,0.9915254237288136,75.0,75.0,58.5
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,92,1.0,75.0,75.0,58.5
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,92,90,0.9782608695652174,75.0,75.0,58.5
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,89,1.0,75.0,75.0,58.5
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,94,65,0.6914893617021277,75.0,75.0,58.5
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,182,172,0.945054945054945,75.0,75.0,58.5
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,99,41,0.41414141414141414,75.0,75.0,58.5
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,68,1.0,75.0,75.0,58.5
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,99,1.0,75.0,75.0,58.5
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,166,115,0.6927710843373494,75.0,75.0,58.5
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,161,151,0.937888198757764,75.0,75.0,58.5
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,163,154,0.9447852760736196,75.0,75.0,58.5
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,117,1.0,75.0,75.0,58.5
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,120,1.0,75.0,75.0,58.5
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,143,1.0,75.0,75.0,58.5
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,145,1.0,75.0,75.0,58.5
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,153,1.0,75.0,75.0,58.5
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,154,1.0,75.0,75.0,58.5
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,167,141,0.844311377245509,75.0,75.0,58.5
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,165,136,0.8242424242424242,75.0,75.0,58.5
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,109,105,0.963302752293578,75.0,75.0,58.5
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,109,103,0.944954128440367,75.0,75.0,58.5
