dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,1.0,,0.22508322940628384,0.114870828864466,18.892145942795256,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,1.0789265213977384,,0.22508322938891054,0.11487082886841427,18.892145941532966,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,1.1640824385754243,,0.22508322905833236,0.11487082894354214,18.89214591751413,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,1.2559594160723788,,0.22508322495026928,0.11487082987720831,18.892145619031165,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,1.3550879237997064,,0.225083189620244,0.11487083791140985,18.89214305178067,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,1.4620402998133009,,0.22508296864260066,0.11487088834653,18.89212698440795,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,1.577434054820871,,0.22508192112186154,0.11487113176759033,18.89205058114706,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,1.7019354375022115,,0.2250780414217982,0.11487209724955509,18.89176410661869,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,1.8362632812277988,,0.22506666985637383,0.11487555477491888,18.890890096610732,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,1.981193154385506,,0.22504081208316276,0.11488778932665786,18.888663898721056,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,2.1375618382781663,,0.22499941102686294,0.11493057555147991,18.883837533013395,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,2.3062721584460166,,0.22497087145627598,0.1150652285408622,18.874821747216963,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,2.4882981973086142,,0.2250352511818201,0.11541024001243504,18.86018197549564,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,2.6846909182224463,,0.22528625014326656,0.11609073220658535,18.83910194648674,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,2.896584233425844,,0.2257425939313984,0.11712833292165528,18.81111328214388,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,3.1252015509056803,,0.22635780568896746,0.11842110550408665,18.77947484406525,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,3.3718628379854825,,0.2271211691816442,0.11981762975454324,18.76573528767863,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,3.6379922424179822,,0.22808219998764448,0.12115017742102852,18.765746400982017,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,3.9251263149839914,,0.22926902412010414,0.12223758427505724,18.78207193855051,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,4.234922881072401,,0.23058095355294778,0.1228894931211425,18.808279870443148,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,4.569170612463134,,0.23175132187641384,0.12286394149928268,18.835841247274747,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,4.9297993545776215,,0.23241544701044398,0.12184270359237157,18.85267668617586,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,5.318891268823249,,0.2322504741879095,0.11954949764775713,18.847557489983977,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,5.73869285436427,,0.23115402700526588,0.11595500355933412,18.808640885563957,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,6.1916279187293,,0.22927999624740764,0.11125865263939533,18.733631236131124,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,6.680311572143722,,0.22718807663831037,0.10572484441562546,18.648330909565438,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,7.207565326386083,,0.22583358162716669,0.09889041600994392,18.574564983573005,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,7.776433385344691,,0.2275279338835121,0.08687133682727292,18.555983321605314,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,8.390200221331185,,0.22916841248261272,0.07634997910601861,18.494823922168113,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,9.05240953863139,,0.22424378217894136,0.08189313318901663,18.267285242025036,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,9.76688473378327,,0.2171864303568963,0.0815039830756163,18.037986382314717,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,10.537750970713459,,0.20660812227499945,0.08469675030286572,17.70388774170335,5
