dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,11.369458998187513,,0.20591594712937972,0.0845622698596375,17.63962974326015,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Uniform NW smoother,uniform,26.221066744113397,,0.20242599525433452,0.09246475565262195,17.72923433637542,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF-von-Mises NW smoother,multiplicative_rbf_vm,16.622607242425104,3.0,0.170159526577022,0.10053900739301563,15.684428063906756,5
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,RBF NW smoother,rbf,5.73869285436427,,0.15029334885375317,0.14254300231244865,15.624864028180875,5
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,Uniform NW smoother,uniform,14.279579084422442,,0.14913655784305907,0.12313370972806757,16.14235781920622,5
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,125,RBF-von-Mises NW smoother,multiplicative_rbf_vm,4.569170612463134,3.0,0.14689407417908928,0.12995419548307852,15.223643383101768,5
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,RBF NW smoother,rbf,7.207565326386083,,0.23261122188647568,0.1578962903700084,21.094120290490444,5
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,Uniform NW smoother,uniform,10.537750970713459,,0.2322113274171383,0.17615617362798558,20.60858553381402,5
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,85,RBF-von-Mises NW smoother,multiplicative_rbf_vm,7.207565326386083,0.0,0.23261122188647568,0.1578962903700084,21.094120290490444,5
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,RBF NW smoother,rbf,3.1252015509056803,,0.11889379421676871,0.036965742829090355,15.68918388798382,5
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,Uniform NW smoother,uniform,7.207565326386083,,0.13636779026339194,0.05019726501495789,16.75651071793622,5
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,142,RBF-von-Mises NW smoother,multiplicative_rbf_vm,3.3718628379854825,1.0,0.11664629285228079,0.0351838676424708,15.553479248882761,5
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,RBF NW smoother,rbf,3.3718628379854825,,0.20457782498640312,0.11940810738233754,19.23282686242295,5
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Uniform NW smoother,uniform,14.279579084422442,,0.24274551942063471,0.14930999857921143,21.062726214629873,5
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,RBF-von-Mises NW smoother,multiplicative_rbf_vm,220.0,64.0,0.14999327537147983,0.1243866388645977,13.133440144681444,5
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,RBF NW smoother,rbf,5.73869285436427,,0.327723340665149,0.15714587017211942,23.694000648316564,5
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Uniform NW smoother,uniform,20.87732008579673,,0.34075873105407645,0.13113193568465095,24.991235340053436,5
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,RBF-von-Mises NW smoother,multiplicative_rbf_vm,6.680311572143722,64.0,0.2777876755463298,0.2124040635440995,20.19317372350097,5
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,RBF NW smoother,rbf,5.73869285436427,,0.19972573574019797,0.11973585044564856,18.154187968027607,5
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Uniform NW smoother,uniform,16.622607242425104,,0.18195923565354052,0.09049813443433549,18.713495283854126,5
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,RBF-von-Mises NW smoother,multiplicative_rbf_vm,41.3620036358955,48.0,0.11992138680196199,0.10780436408360329,14.147058782465118,5
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,RBF NW smoother,rbf,5.73869285436427,,0.23677153044380678,0.2327125068221845,20.74912551267203,5
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Uniform NW smoother,uniform,7.207565326386083,,0.2456556820832223,0.15710626506662928,22.12196789634158,5
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,RBF-von-Mises NW smoother,multiplicative_rbf_vm,24.302921676393932,32.0,0.13491948367654422,0.121284570866111,15.188633940829686,5
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,RBF NW smoother,rbf,7.207565326386083,,0.19970766657286165,0.13632090313926054,20.100821505954446,5
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Uniform NW smoother,uniform,14.279579084422442,,0.22488597374260294,0.12824647483931662,21.38695202341396,5
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,RBF-von-Mises NW smoother,multiplicative_rbf_vm,8.390200221331185,24.0,0.13487127054568213,0.10515689369704971,16.023654558869463,5
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,RBF NW smoother,rbf,10.537750970713459,,0.22696115860311156,0.1971541768130292,19.732210547784558,5
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Uniform NW smoother,uniform,22.525094336275785,,0.23791983750013315,0.2011612942524018,20.61148677291145,5
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,RBF-von-Mises NW smoother,multiplicative_rbf_vm,9.05240953863139,64.0,0.19243602100984494,0.15816674912665005,16.036111172859943,5
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,RBF NW smoother,rbf,6.1916279187293,,0.165499440047526,0.1662207528632707,16.657458399117665,5
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Uniform NW smoother,uniform,10.537750970713459,,0.19655904155829043,0.1390553454252759,18.72331827079242,5
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,RBF-von-Mises NW smoother,multiplicative_rbf_vm,6.1916279187293,0.0,0.165499440047526,0.1662207528632707,16.657458399117665,5
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,RBF NW smoother,rbf,4.234922881072401,,0.21311763223143884,0.12730719529096118,19.08993388501344,5
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Uniform NW smoother,uniform,10.537750970713459,,0.2237282439739579,0.14441816603140062,19.548482280830473,5
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,RBF-von-Mises NW smoother,multiplicative_rbf_vm,4.9297993545776215,32.0,0.18554092666135502,0.12826148136211982,18.13417993641365,5
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,RBF NW smoother,rbf,13.23498755589342,,0.21469459626030343,0.15066513467677048,18.469423947680852,5
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Uniform NW smoother,uniform,28.29060432956419,,0.21324926346965029,0.14389142519713696,18.968542368519927,5
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,RBF-von-Mises NW smoother,multiplicative_rbf_vm,6.680311572143722,48.0,0.1520422002386546,0.0924524382311017,15.281355528862514,5
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,RBF NW smoother,rbf,5.73869285436427,,0.26385064272260406,0.12295192928393038,21.753965466698258,5
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Uniform NW smoother,uniform,10.537750970713459,,0.2679947000799824,0.12306252656628443,22.251452198516994,5
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,RBF-von-Mises NW smoother,multiplicative_rbf_vm,220.0,8.0,0.18330747814681106,0.1281606230294735,17.596492198639783,5
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,RBF NW smoother,rbf,6.680311572143722,,0.20036791434035028,0.1352275152766737,19.61199704838554,5
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Uniform NW smoother,uniform,14.279579084422442,,0.21464128170089283,0.15061225027338374,19.793597917275296,5
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,RBF-von-Mises NW smoother,multiplicative_rbf_vm,11.369458998187513,12.0,0.16996989144662733,0.12567733153968566,16.666851751287805,5
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,RBF NW smoother,rbf,2.1375618382781663,,0.14193263549410257,0.11789944500076231,14.494388421122611,5
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Uniform NW smoother,uniform,22.525094336275785,,0.14117645596448258,0.1315958064243733,15.235315819868433,5
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,RBF-von-Mises NW smoother,multiplicative_rbf_vm,3.6379922424179822,64.0,0.12475011087769239,0.14305222175967572,13.346439962931376,5
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,RBF NW smoother,rbf,1.0,,0.10266877610189415,0.10722936929741222,12.068128953378174,5
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Uniform NW smoother,uniform,7.207565326386083,,0.10103151997039203,0.08476634336764245,12.513789816573288,5
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,RBF-von-Mises NW smoother,multiplicative_rbf_vm,220.0,64.0,0.06444220943373892,0.07129906649759017,9.702376768659287,5
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,RBF NW smoother,rbf,3.9251263149839914,,0.24669991175953862,0.18236519648072608,21.30547176996061,5
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Uniform NW smoother,uniform,7.207565326386083,,0.2594996759448559,0.17014331505009447,22.06157197148877,5
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,RBF-von-Mises NW smoother,multiplicative_rbf_vm,20.87732008579673,32.0,0.23977015415870953,0.14918615725026232,19.238372181140537,5
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,RBF NW smoother,rbf,7.207565326386083,,0.30978029874685953,0.16958786278080407,24.206852186972434,5
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Uniform NW smoother,uniform,10.537750970713459,,0.3302799656485983,0.2030971509447,25.430617146688665,5
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,RBF-von-Mises NW smoother,multiplicative_rbf_vm,220.0,24.0,0.21066111594735815,0.17098196293971116,17.85942841696042,5
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,RBF NW smoother,rbf,8.390200221331185,,0.22854032728634016,0.05101908596066233,21.512355539003497,5
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Uniform NW smoother,uniform,16.622607242425104,,0.2238413708168267,0.035629556528431174,21.267171663547707,5
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,RBF-von-Mises NW smoother,multiplicative_rbf_vm,10.537750970713459,4.0,0.21874575155606446,0.05485932735623819,20.33752099889612,5
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,RBF NW smoother,rbf,3.3718628379854825,,0.23036505113186267,0.19666198076581617,20.62858352645849,5
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Uniform NW smoother,uniform,7.207565326386083,,0.2379870061917418,0.19772548338051155,21.295157870193016,5
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,RBF-von-Mises NW smoother,multiplicative_rbf_vm,5.73869285436427,64.0,0.17182125123713365,0.16915381917972985,15.592986523361386,5
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,RBF NW smoother,rbf,5.318891268823249,,0.24182931943461225,0.09841646935584228,23.12081073448441,5
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Uniform NW smoother,uniform,10.537750970713459,,0.25148023380932777,0.10487268581829025,23.213370994676485,5
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,RBF-von-Mises NW smoother,multiplicative_rbf_vm,5.318891268823249,8.0,0.21305143756697462,0.0889425680008005,21.48138263989356,5
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,RBF NW smoother,rbf,10.537750970713459,,0.27802465636199397,0.16951807150349033,23.322447150264846,5
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Uniform NW smoother,uniform,22.525094336275785,,0.28958973857072123,0.17627305832989412,23.686678917868882,5
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,RBF-von-Mises NW smoother,multiplicative_rbf_vm,13.23498755589342,4.0,0.257231598721977,0.192899938284039,22.628507493440154,5
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,RBF NW smoother,rbf,5.73869285436427,,0.28173608360730334,0.1689086770460427,24.541941596991286,5
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Uniform NW smoother,uniform,14.279579084422442,,0.3186298268764043,0.1932460734436325,25.946331307820703,5
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,RBF-von-Mises NW smoother,multiplicative_rbf_vm,14.279579084422442,32.0,0.2137862677309677,0.11086699506752681,20.914298274402864,5
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,RBF NW smoother,rbf,4.569170612463134,,0.25872374557412164,0.10588318215974027,21.9949970758969,5
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Uniform NW smoother,uniform,10.537750970713459,,0.2668138673029683,0.12008396383425214,22.60295243263056,5
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,RBF-von-Mises NW smoother,multiplicative_rbf_vm,6.680311572143722,32.0,0.11306518792322577,0.027879462600546946,14.800561760844165,5
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,RBF NW smoother,rbf,5.73869285436427,,0.2420733595634915,0.1085125789533131,22.586742692558698,5
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Uniform NW smoother,uniform,14.279579084422442,,0.263871679015082,0.08919176195971273,23.41217623600844,5
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,RBF-von-Mises NW smoother,multiplicative_rbf_vm,16.622607242425104,64.0,0.12614395272252182,0.03608328234666805,15.569562801211612,5
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,RBF NW smoother,rbf,6.680311572143722,,0.26936945801536616,0.13093512993280715,20.917729447598383,5
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Uniform NW smoother,uniform,10.537750970713459,,0.2731355563619474,0.16002431601453834,20.909196400445772,5
