dataset,model,bandwidth,kappa,mean_test_rss,mean_test_mae_deg,n_folds
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,RBF-von-Mises NW smoother,16.622607242425104,3.0,0.170159526577022,15.684428063906756,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,RBF NW smoother,11.369458998187513,,0.20591594712937972,17.63962974326015,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,Uniform NW smoother,26.221066744113397,,0.20242599525433452,17.72923433637542,5
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,4.569170612463134,3.0,0.14689407417908928,15.223643383101768,5
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,RBF NW smoother,5.73869285436427,,0.15029334885375317,15.624864028180875,5
EE+0p22-data-225x225/EE_0.22data_rot_35.5deg/arrow_segments.mat,Uniform NW smoother,14.279579084422442,,0.14913655784305907,16.14235781920622,5
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,RBF-von-Mises NW smoother,7.207565326386083,0.0,0.23261122188647568,21.094120290490444,5
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,RBF NW smoother,7.207565326386083,,0.23261122188647568,21.094120290490444,5
EE+0p23-data-225x225/EE_0.23data_rot_0deg/arrow_segments.mat,Uniform NW smoother,10.537750970713459,,0.2322113274171383,20.60858553381402,5
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,RBF-von-Mises NW smoother,3.3718628379854825,1.0,0.11664629285228079,15.553479248882761,5
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,RBF NW smoother,3.1252015509056803,,0.11889379421676871,15.68918388798382,5
EE+0p4-data-225x225/EE_0.4data_rot_-67deg/arrow_segments.mat,Uniform NW smoother,7.207565326386083,,0.13636779026339194,16.75651071793622,5
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,220.0,64.0,0.14999327537147983,13.133440144681444,5
