dataset,n,model,family,mean_test_rss,sd_test_rss,mean_test_mae_deg,p_median,gamma_median
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=0 (Logarithmic),parametric_fixed_p,0.8595277558556113,0.14660005267941809,46.78528268631776,0.0,0.4532927123861069
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=1 (Archimedean),parametric_fixed_p,0.90456083845992,0.16972024495938148,47.93589222787772,1.0,-1.5716912678885275
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=2 (Fermat),parametric_fixed_p,0.8403233010524357,0.1469368204239364,45.253646376145824,2.0,-1.403519064190815
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric continuous p,parametric_continuous_p,0.9156039028604788,0.15803934079699253,47.989854533386485,1.8926529609140421,-1.5210372542432464
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7100923877224152,0.22646051591081848,41.037048816154226,0.0,-1.063191622058794
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=1 (Archimedean),parametric_fixed_p,0.7623991034699344,0.24604516914810298,42.24193945129559,1.0,-1.0580659808426136
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=2 (Fermat),parametric_fixed_p,0.7370324938856826,0.2292959396741007,41.505966347532606,2.0,2.823217569953625
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric continuous p,parametric_continuous_p,0.7132388775951432,0.18548502116721316,40.821641693155094,-0.999,-1.5643684276347956
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=0 (Logarithmic),parametric_fixed_p,0.8629539873746408,0.12754186868979003,46.66986472811196,0.0,0.7390173630207955
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=1 (Archimedean),parametric_fixed_p,0.8797846483982925,0.16311252960305375,47.06649913177606,1.0,-1.6226198325547194
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=2 (Fermat),parametric_fixed_p,0.8647439032127892,0.13701075555319506,46.164676598844686,2.0,-0.020913273850088083
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric continuous p,parametric_continuous_p,0.7952704189017179,0.13992297672875553,43.99807766457098,-0.999,1.5661449621069197
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7778313349434437,0.19429722915724157,43.197813857927784,0.0,1.9898305466620576
