dataset,n,model,family,p,gamma,rss,rss_per_point,mae_deg,log_likelihood,bic,bic_log_evidence,k_params
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,0.522994941778855,128.23853545149558,0.7633246157827118,43.416219542772645,-215.69563468909493,436.5152333575931,-218.25761667879655,1
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,0.0041595080492296274,125.11216410630605,0.7447152625375361,42.869512265297786,-213.62239372440357,432.3687514282104,-216.1843757141052,1
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=2 (Fermat),parametric_fixed_p,2.0,0.3214380537837969,137.61406224220335,0.819131322870258,44.343658997345045,-221.6227611201459,448.36948621969503,-224.18474310984752,1
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric continuous p,parametric_continuous_p,2.028385133421277,-3.1415676972182887,123.73510472184043,0.7365184804871454,42.37289956214585,-212.692713687402,435.63335533361055,-217.81667766680528,2
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-1.1886003753971979,88.7967140198779,0.688346620309131,40.202936608693435,-158.9547228066902,322.76925801774206,-161.38462900887103,1
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,1.0959956965434885,92.2286824912342,0.714951027063831,40.74234949052875,-161.4006613032169,327.6611350107955,-163.83056750539774,1
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=2 (Fermat),parametric_fixed_p,2.0,2.823346008215985,92.23007130687706,0.7149617930765664,40.66193424405849,-161.4016325621799,327.6630775287215,-163.83153876436074,1
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric continuous p,parametric_continuous_p,-0.999,-1.568481733497403,86.53488335870203,0.6708130492922638,39.27897099308644,-157.2904914482054,324.3006077051341,-162.15030385256705,2
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,0.699144942189967,136.07149040824083,0.7644465753271957,43.27165165552022,-228.66537963707535,462.5125428244428,-231.2562714122214,1
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-3.134337031437587,139.4431265999096,0.7833883516848853,43.36504271049775,-230.84378022656517,466.86934400342244,-233.43467200171122,1
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-0.020778328961642792,145.15501616040814,0.8154776188786974,44.70668228572471,-234.41672303608115,474.0152296224544,-237.0076148112272,1
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric continuous p,parametric_continuous_p,-0.999,-1.5753099950054077,132.6853354064595,0.745423232620559,42.37263798506424,-226.42258083601936,463.2087287726229,-231.60436438631146,2
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.9918917109380876,134.07292371116324,0.7490107469897388,42.5121118076994,-228.12432317667066,461.43603215918205,-230.71801607959102,1
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,3.12712295293701,133.29388943639108,0.7446586002033021,41.94215961118675,-227.60276431836922,460.3929144425792,-230.1964572212896,1
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=2 (Fermat),parametric_fixed_p,2.0,3.1255105989709593,138.74255927646007,0.7750980965165367,42.600502681402006,-231.18846895041526,467.56432370667125,-233.78216185333562,1
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric continuous p,parametric_continuous_p,0.3631355460368337,-0.3666730149852762,133.1514261102774,0.7438627156998738,42.138231936812964,-227.50705635761136,465.38888432690425,-232.69444216345212,2
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-0.7198338982382092,134.12585781328931,0.745143654518274,42.80378838389902,-228.93289308676697,463.05874302442413,-231.52937151221207,1
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,3.134649534544093,133.84598676352886,0.7435888153529381,41.90454804371121,-228.7449001752238,462.6827572013378,-231.3413786006689,1
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric p=2 (Fermat),parametric_fixed_p,2.0,3.092682944638277,147.4658480609603,0.8192547114497795,44.90693540678639,-237.46651433280505,480.1259855165003,-240.06299275825015,1
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric continuous p,parametric_continuous_p,-0.18297316871836247,1.9881129740240382,133.4225868289684,0.741236593494269,42.917483575159274,-228.45974861044903,467.30541092267845,-233.65270546133922,2
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-0.941491505195683,100.52520363853885,0.7391559091069033,42.162405620942565,-172.42288482592497,349.758424537586,-174.879212268793,1
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-0.008536528483589982,101.6195003247944,0.7472022082705471,42.84384645191857,-173.1591188217539,351.2308925292439,-175.61544626462194,1
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-3.1341342952511773,108.29503002336605,0.7962869854659269,43.22828813396805,-177.48553811037127,359.8837311064786,-179.9418655532393,1
Front_EE1_1_3000x_rings_coords.csv,136,Parametric continuous p,parametric_continuous_p,-0.999,1.5771509670436583,98.14434234141211,0.721649576039795,41.969028459532126,-170.79297905922544,351.411267889923,-175.7056339449615,2
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,2.515209570694315,121.77211803831446,0.6841130226871599,40.680243870641405,-218.78379870291312,442.74938095611833,-221.37469047805916,1
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-0.003200011348911704,121.04089983339712,0.6800050552438041,40.25293119789025,-218.2477597579095,441.6773030661111,-220.83865153305555,1
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-1.3404828774750465e-05,122.02310505205824,0.6855230620902149,40.23083221731235,-218.96704964468114,443.1158828396544,-221.5579414198272,1
Front_EE1_2_3000x_rings_coords.csv,178,Parametric continuous p,parametric_continuous_p,1.3,3.1409575619820127,120.89384742667504,0.6791789181273878,40.2303259478956,-218.13956805780688,446.64270321619796,-223.32135160809898,2
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,0.6271598420367884,119.46343320133896,0.6636857400074386,39.77553287116056,-218.5137487573657,442.2204543656216,-221.1102271828108,1
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,0.003904676151327758,119.63207282137529,0.6646226267854183,39.316916510450945,-218.6407069639217,442.4743707787336,-221.2371853893668,1
