dataset,n_raw,n_used,n_dropped,x_min,x_max,y_min,y_max,pitch_deg_mean,pitch_deg_sd
Front_EE-1_1_3000x_rings_coords.csv,169,168,1,-295.0,295.0,-291.0,295.0,-10.507202380952382,44.61825945235425
Front_EE-1_2_3000x_rings_coords.csv,130,129,1,-271.0,284.0,-253.0,284.0,-15.56906976744186,49.09314966917897
Front_EE-1_3_3000x_rings_coords.csv,179,178,1,-340.0,340.0,-340.0,340.0,-1.638932584269663,54.6837517309663
Front_EE-1_4_3000x_rings_coords.csv,180,179,1,-344.0,344.0,-344.0,344.0,-6.7548044692737435,46.3845836499898
Front_EE-1_5_3000x_rings_coords.csv,181,180,1,-302.0,302.0,-302.0,302.0,-15.756555555555558,48.01989234364463
Front_EE1_1_3000x_rings_coords.csv,137,136,1,-237.0,237.0,-226.0,241.0,11.220735294117647,47.27052260768317
Front_EE1_2_3000x_rings_coords.csv,179,178,1,-352.0,352.0,-352.0,352.0,10.943651685393258,53.19954123068006
Front_EE1_3_3000x_rings_coords.csv,181,180,1,-356.0,356.0,-356.0,356.0,17.066166666666668,49.73123844629485
Front_EE1_4_3000x_rings_coords.csv,164,163,1,-330.0,330.0,-310.0,330.0,12.114601226993866,43.40316439287932
Front_EE1_5_3000x_rings_coords.csv,181,180,1,-356.0,356.0,-356.0,356.0,12.385000000000002,50.71114301864022
