dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg,family,p_median,gamma_median
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,21.979124605252267,,0.35433387836320396,0.17699961145051596,24.79063268251209,,,
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,27.00708744154532,1.25,0.35193560781483796,0.18346719708952672,24.875186591389866,,,
Front_EE-1_2_3000x_rings_coords.csv,129,RBF kernel smoother,rbf,29.93721733939893,,0.23761965832052687,0.09610406923654666,20.035222614552687,,,
Front_EE-1_2_3000x_rings_coords.csv,129,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,29.93721733939893,0.5,0.23728603015283795,0.09576375622071721,20.014072236246015,,,
Front_EE-1_3_3000x_rings_coords.csv,178,RBF kernel smoother,rbf,29.93721733939893,,0.49487802399979797,0.10305391229686774,31.53816735079649,,,
Front_EE-1_3_3000x_rings_coords.csv,178,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,29.93721733939893,0.0,0.49487802399979797,0.10305391229686774,31.53816735079649,,,
Front_EE-1_4_3000x_rings_coords.csv,179,RBF kernel smoother,rbf,27.00708744154532,,0.40196935064258954,0.15672318642614272,28.067461349675074,,,
Front_EE-1_4_3000x_rings_coords.csv,179,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,27.00708744154532,1.0,0.39558278374549205,0.15575170520495238,27.735141670064497,,,
Front_EE-1_5_3000x_rings_coords.csv,180,RBF kernel smoother,rbf,29.93721733939893,,0.35357571215459516,0.1454209348998209,24.98189660527982,,,
Front_EE-1_5_3000x_rings_coords.csv,180,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,33.18525124066939,2.0,0.34726946548463855,0.14877951275399587,25.017344844680665,,,
Front_EE1_1_3000x_rings_coords.csv,136,RBF kernel smoother,rbf,19.82789961315042,,0.17061505604530003,0.06351917126678844,17.27097028535574,,,
Front_EE1_1_3000x_rings_coords.csv,136,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,21.979124605252267,0.5,0.1679583639278168,0.06316471894518155,17.23243351511895,,,
Front_EE1_2_3000x_rings_coords.csv,178,RBF kernel smoother,rbf,33.18525124066939,,0.4968806006576901,0.23810898394900668,31.224154589907084,,,
Front_EE1_2_3000x_rings_coords.csv,178,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,33.18525124066939,0.0,0.4968806006576901,0.23810898394900668,31.224154589907084,,,
Front_EE1_3_3000x_rings_coords.csv,180,RBF kernel smoother,rbf,24.36374642994522,,0.33802548872718735,0.12202264820119375,24.34338652654538,,,
Front_EE1_3_3000x_rings_coords.csv,180,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,24.36374642994522,0.0,0.33802548872718735,0.12202264820119375,24.34338652654538,,,
Front_EE1_4_3000x_rings_coords.csv,163,RBF kernel smoother,rbf,36.78568009248582,,0.27190778515714265,0.09205998224892928,22.808257569199753,,,
Front_EE1_4_3000x_rings_coords.csv,163,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,36.78568009248582,1.5,0.2632518067981194,0.09633613586411346,22.52011954750559,,,
Front_EE1_5_3000x_rings_coords.csv,180,RBF kernel smoother,rbf,55.54097616955662,,0.4880560925111296,0.15394378918500004,31.684313019643515,,,
Front_EE1_5_3000x_rings_coords.csv,180,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,55.54097616955662,1.0,0.48366322545072293,0.13948949502785357,31.483075874290826,,,
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=0 (Logarithmic),,,,0.5851987339391902,0.12181391536151505,35.70063938659722,parametric_fixed_p,0.0,-1.1226853532909304
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=1 (Archimedean),,,,0.573478497853344,0.10792757673943187,35.404142022598265,parametric_fixed_p,1.0,-3.1383089553846055
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=2 (Fermat),,,,0.5262712151854624,0.14086983702168712,33.96812003502778,parametric_fixed_p,2.0,-3.141569856928731
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric continuous p,,,,0.5146316845971197,0.15482596167826815,33.73871274471588,parametric_continuous_p,2.9341098903521505,1.3385004628784038e-07
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=0 (Logarithmic),,,,0.7472159174855075,0.15127461737788822,42.56903535526842,parametric_fixed_p,0.0,-2.546519164614014
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=1 (Archimedean),,,,0.8599528381271746,0.16395799161886204,46.61118419083236,parametric_fixed_p,1.0,-3.093622696544956
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=2 (Fermat),,,,0.8825384402595216,0.13748203745212795,48.3135375282945,parametric_fixed_p,2.0,1.5236620883008725
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric continuous p,,,,0.7622738208802786,0.13253347357248527,43.49900819549354,parametric_continuous_p,-0.9551208666961961,-1.5819018709133237
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=0 (Logarithmic),,,,0.7106636771823478,0.19371133885304434,41.38261491890982,parametric_fixed_p,0.0,1.273482233629185
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=1 (Archimedean),,,,0.6671559236741478,0.1939671066003867,40.19790030285035,parametric_fixed_p,1.0,-3.130698381073537
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=2 (Fermat),,,,0.7390692119508346,0.18651052163010348,42.269375647476416,parametric_fixed_p,2.0,1.549965775165844
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric continuous p,,,,0.6153787387721621,0.17788699135061922,37.30383554009139,parametric_continuous_p,2.9380495320341837,3.95449433246065e-07
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=0 (Logarithmic),,,,0.600879551967875,0.1676979674178563,37.13956604950058,parametric_fixed_p,0.0,0.3642756850036726
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=1 (Archimedean),,,,0.5929629867795696,0.178872621457504,36.26028551008996,parametric_fixed_p,1.0,-3.1399487632044245
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=2 (Fermat),,,,0.594271939920768,0.17919688673490802,36.38696251497859,parametric_fixed_p,2.0,5.183658872658121e-06
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric continuous p,,,,0.5944323524463778,0.17963194678211217,36.327947126188874,parametric_continuous_p,1.2294595722620734,-3.1410980122319043
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),,,,0.5594450072734853,0.1375990871122355,35.37399725676069,parametric_fixed_p,0.0,-0.8890357099894024
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric p=1 (Archimedean),,,,0.4814431465868051,0.1325323850139667,32.34186034919564,parametric_fixed_p,1.0,-3.1371337019978345
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric p=2 (Fermat),,,,0.49292826394320227,0.19515130129896466,32.97806380704623,parametric_fixed_p,2.0,2.1276816672947832e-05
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric continuous p,,,,0.4453036116650077,0.13954004150072954,31.39403270450086,parametric_continuous_p,2.5,1.1602456919996257e-06
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=0 (Logarithmic),,,,0.6261331451218697,0.16430636395674536,37.50483333867421,parametric_fixed_p,0.0,2.66207773925786
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=1 (Archimedean),,,,0.6196638678710061,0.1923895195171093,37.51202456145377,parametric_fixed_p,1.0,3.1377088630166035
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=2 (Fermat),,,,0.6358624607586689,0.1780964810483294,38.839976530241785,parametric_fixed_p,2.0,1.5707779107475182
Front_EE1_1_3000x_rings_coords.csv,136,Parametric continuous p,,,,0.675561706387781,0.1908248181293291,39.66824730042534,parametric_continuous_p,1.3457126241130308,3.1391523983109693
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=0 (Logarithmic),,,,0.7029353097779503,0.13017925247167111,41.25849614619587,parametric_fixed_p,0.0,2.0952699463886337
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=1 (Archimedean),,,,0.6550575237303856,0.10754832545446374,39.38525469687558,parametric_fixed_p,1.0,1.5632096601973682
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=2 (Fermat),,,,0.8072041540278523,0.16395786535827483,43.587299401463824,parametric_fixed_p,2.0,3.0835191144205147
Front_EE1_2_3000x_rings_coords.csv,178,Parametric continuous p,,,,0.6218145705403781,0.11593477068776845,37.75990743848497,parametric_continuous_p,2.5058286481775722,-9.36684537646245e-07
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),,,,0.6677978306635044,0.1342840591628642,38.968057589314235,parametric_fixed_p,0.0,0.8718000423608734
