dataset,n,model,family,mean_test_nlpd,mean_train_axial_sigma,mean_test_mae_deg,p_median,gamma_median,kernel,bandwidth,kappa,sigma_n
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=0 (Logarithmic),parametric_fixed_p,1.348391696608909,0.8711970397562057,46.78528268631776,0.0,0.4532927123861069,,,,
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=1 (Archimedean),parametric_fixed_p,1.3799094516665922,0.8616772472818152,47.93589222787772,1.0,-1.5716912678885275,,,,
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=2 (Fermat),parametric_fixed_p,1.333201300931207,0.8932162496369829,45.253646376145824,2.0,-1.403519064190815,,,,
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric continuous p,parametric_continuous_p,1.387900400602741,0.8575345768261421,47.989854533386485,1.8926529609140421,-1.5210372542432464,,,,
Front_EE-1_1_3000x_rings_coords.csv,168,Gaussian RBF RKHS,kernel_gp_line_embedding_cv,1.1374452386160407,0.5022742522007287,30.593390133122814,,,gaussian_rbf,202.09840764954333,,0.053062911415080655
Front_EE-1_1_3000x_rings_coords.csv,168,Uniform RKHS,kernel_gp_line_embedding_cv,0.905284592820441,0.5955635266349932,25.400835926296068,,,uniform,62.00955125216084,,0.053062911415080655
Front_EE-1_1_3000x_rings_coords.csv,168,Multiplicative RBF-VM RKHS,kernel_gp_line_embedding_cv,1.1290045029608184,0.4229569812610906,26.45298515469878,,,multiplicative_rbf_vm,202.09840764954333,0.5,0.12118262674871709
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=0 (Logarithmic),parametric_fixed_p,1.253644700236317,0.8290843618516293,41.037048816154226,0.0,-1.063191622058794,,,,
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=1 (Archimedean),parametric_fixed_p,1.2899700254309905,0.8443113353813168,42.24193945129559,1.0,-1.0580659808426136,,,,
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=2 (Fermat),parametric_fixed_p,1.2717835812245395,0.844852483364852,41.505966347532606,2.0,2.823217569953625,,,,
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric continuous p,parametric_continuous_p,1.2553255647691437,0.8177587169000408,40.821641693155094,-0.999,-1.5643684276347956,,,,
Front_EE-1_2_3000x_rings_coords.csv,129,Gaussian RBF RKHS,kernel_gp_line_embedding_cv,0.9680879667319816,0.5833671559249126,28.62572108177717,,,gaussian_rbf,462.2229438887363,,0.07982144287370467
Front_EE-1_2_3000x_rings_coords.csv,129,Uniform RKHS,kernel_gp_line_embedding_cv,0.7866574940198331,0.5259412998902796,21.549470379678432,,,uniform,58.95041937154416,,0.18229252523748826
Front_EE-1_2_3000x_rings_coords.csv,129,Multiplicative RBF-VM RKHS,kernel_gp_line_embedding_cv,0.9680879667319816,0.5833671559249126,28.62572108177717,,,multiplicative_rbf_vm,462.2229438887363,0.0,0.07982144287370467
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=0 (Logarithmic),parametric_fixed_p,1.349723194447471,0.8726833842466813,46.66986472811196,0.0,0.7390173630207955,,,,
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=1 (Archimedean),parametric_fixed_p,1.3608199081237031,0.8808368297284016,47.06649913177606,1.0,-1.6226198325547194,,,,
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=2 (Fermat),parametric_fixed_p,1.3485114703753256,0.892272517292372,46.164676598844686,2.0,-0.020913273850088083,,,,
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric continuous p,parametric_continuous_p,1.3070493570068842,0.8625406217098958,43.99807766457098,-0.999,1.5661449621069197,,,,
Front_EE-1_3_3000x_rings_coords.csv,178,Gaussian RBF RKHS,kernel_gp_line_embedding_cv,1.163406324180011,0.6947039222268351,36.28706951736788,,,gaussian_rbf,418.8291937359939,,0.41839981874799476
Front_EE-1_3_3000x_rings_coords.csv,178,Uniform RKHS,kernel_gp_line_embedding_cv,1.1330419595598298,0.5558323261490662,31.854168641748476,,,uniform,52.487523869585765,,0.05308456584303862
Front_EE-1_3_3000x_rings_coords.csv,178,Multiplicative RBF-VM RKHS,kernel_gp_line_embedding_cv,1.163406324180011,0.6947039222268351,36.28706951736788,,,multiplicative_rbf_vm,418.8291937359939,0.0,0.41839981874799476
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=0 (Logarithmic),parametric_fixed_p,1.2968945462914465,0.8649211969002504,43.197813857927784,0.0,1.9898305466620576,,,,
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=1 (Archimedean),parametric_fixed_p,1.302921839748938,0.8618147317758948,43.10518895039935,1.0,-0.011885818368475697,,,,
