dataset,n,model,kernel,bandwidth,kappa,sigma_n,evidence_score,family,p,rss_per_point,mae_deg,bic
Front_EE-1_1_3000x_rings_coords.csv,168,Gaussian RBF RKHS,gaussian_rbf,62.00955125216084,,0.4182291437393777,-308.75719349022114,kernel_gp_line_embedding_lml,,,,
Front_EE-1_1_3000x_rings_coords.csv,168,Uniform RKHS,uniform,658.6689558257004,,0.6320318094036544,-368.060128365365,kernel_gp_line_embedding_lml,,,,
Front_EE-1_1_3000x_rings_coords.csv,168,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,62.00955125216084,0.0,0.4182291437393777,-308.75719349022114,kernel_gp_line_embedding_lml,,,,
Front_EE-1_2_3000x_rings_coords.csv,129,Gaussian RBF RKHS,gaussian_rbf,58.95041937154416,,0.41631125122654655,-226.1039492283063,kernel_gp_line_embedding_lml,,,,
Front_EE-1_2_3000x_rings_coords.csv,129,Uniform RKHS,uniform,620.3229810247024,,0.6291334722282764,-282.61272802868893,kernel_gp_line_embedding_lml,,,,
Front_EE-1_2_3000x_rings_coords.csv,129,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,58.95041937154416,0.0,0.41631125122654655,-226.1039492283063,kernel_gp_line_embedding_lml,,,,
Front_EE-1_3_3000x_rings_coords.csv,178,Gaussian RBF RKHS,gaussian_rbf,418.8291937359939,,0.6322897350794021,-383.3641629618475,kernel_gp_line_embedding_lml,,,,
Front_EE-1_3_3000x_rings_coords.csv,178,Uniform RKHS,uniform,758.1336320830576,,0.6322897350794021,-389.84024646370705,kernel_gp_line_embedding_lml,,,,
Front_EE-1_3_3000x_rings_coords.csv,178,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,418.8291937359939,0.0,0.6322897350794021,-383.3641629618475,kernel_gp_line_embedding_lml,,,,
Front_EE-1_4_3000x_rings_coords.csv,179,Gaussian RBF RKHS,gaussian_rbf,234.99624205107816,,0.6333372904239154,-372.65005664412433,kernel_gp_line_embedding_lml,,,,
Front_EE-1_4_3000x_rings_coords.csv,179,Uniform RKHS,uniform,767.637073863239,,0.6333372904239154,-392.5624259043351,kernel_gp_line_embedding_lml,,,,
Front_EE-1_4_3000x_rings_coords.csv,179,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,234.99624205107816,0.0,0.6333372904239154,-372.65005664412433,kernel_gp_line_embedding_lml,,,,
Front_EE-1_5_3000x_rings_coords.csv,180,Gaussian RBF RKHS,gaussian_rbf,62.63731445632596,,0.41977860871642897,-362.0633283495033,kernel_gp_line_embedding_lml,,,,
Front_EE-1_5_3000x_rings_coords.csv,180,Uniform RKHS,uniform,673.2967581791885,,0.6343733754272397,-395.315013559676,kernel_gp_line_embedding_lml,,,,
Front_EE-1_5_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,62.63731445632596,0.0,0.41977860871642897,-362.0633283495033,kernel_gp_line_embedding_lml,,,,
Front_EE1_1_3000x_rings_coords.csv,136,Gaussian RBF RKHS,gaussian_rbf,67.59892532587696,,0.41673132360436943,-231.23122482807383,kernel_gp_line_embedding_lml,,,,
Front_EE1_1_3000x_rings_coords.csv,136,Uniform RKHS,uniform,529.8200320700331,,0.6297682895503359,-298.45152641952393,kernel_gp_line_embedding_lml,,,,
Front_EE1_1_3000x_rings_coords.csv,136,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,67.59892532587696,0.0,0.41673132360436943,-231.23122482807383,kernel_gp_line_embedding_lml,,,,
Front_EE1_2_3000x_rings_coords.csv,178,Gaussian RBF RKHS,gaussian_rbf,133.0926245148875,,0.6348270435961727,-379.881622800306,kernel_gp_line_embedding_lml,,,,
Front_EE1_2_3000x_rings_coords.csv,178,Uniform RKHS,uniform,785.5295008460428,,0.6348270435961727,-391.44586387693084,kernel_gp_line_embedding_lml,,,,
Front_EE1_2_3000x_rings_coords.csv,178,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,133.0926245148875,0.0,0.6348270435961727,-379.881622800306,kernel_gp_line_embedding_lml,,,,
Front_EE1_3_3000x_rings_coords.csv,180,Gaussian RBF RKHS,gaussian_rbf,40.95840007095751,,0.18358574865550314,-364.6663672790392,kernel_gp_line_embedding_lml,,,,
Front_EE1_3_3000x_rings_coords.csv,180,Uniform RKHS,uniform,794.004983497712,,0.6335966839715044,-395.1074244914953,kernel_gp_line_embedding_lml,,,,
Front_EE1_3_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,40.95840007095751,0.0,0.18358574865550314,-364.6663672790392,kernel_gp_line_embedding_lml,,,,
Front_EE1_4_3000x_rings_coords.csv,163,Gaussian RBF RKHS,gaussian_rbf,68.77918087111114,,0.41916216046605814,-304.8588427159114,kernel_gp_line_embedding_lml,,,,
Front_EE1_4_3000x_rings_coords.csv,163,Uniform RKHS,uniform,736.1201881444571,,0.6334417930425164,-357.9751181327455,kernel_gp_line_embedding_lml,,,,
Front_EE1_4_3000x_rings_coords.csv,163,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,68.77918087111114,0.0,0.41916216046605814,-304.8588427159114,kernel_gp_line_embedding_lml,,,,
Front_EE1_5_3000x_rings_coords.csv,180,Gaussian RBF RKHS,gaussian_rbf,99.67518653944141,,0.6343316457154121,-387.58115269066207,kernel_gp_line_embedding_lml,,,,
Front_EE1_5_3000x_rings_coords.csv,180,Uniform RKHS,uniform,794.004983497712,,0.6343316457154121,-395.4654652772487,kernel_gp_line_embedding_lml,,,,
Front_EE1_5_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,99.67518653944141,0.0,0.6343316457154121,-387.58115269066207,kernel_gp_line_embedding_lml,,,,
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=0 (Logarithmic),,,,,-218.25761667879655,parametric_fixed_p,0.0,0.7633246157827118,43.416219542772645,436.5152333575931
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=1 (Archimedean),,,,,-216.1843757141052,parametric_fixed_p,1.0,0.7447152625375361,42.869512265297786,432.3687514282104
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=2 (Fermat),,,,,-224.18474310984752,parametric_fixed_p,2.0,0.819131322870258,44.343658997345045,448.36948621969503
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric continuous p,,,,,-217.81667766680528,parametric_continuous_p,2.028385133421277,0.7365184804871454,42.37289956214585,435.63335533361055
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=0 (Logarithmic),,,,,-161.38462900887103,parametric_fixed_p,0.0,0.688346620309131,40.202936608693435,322.76925801774206
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=1 (Archimedean),,,,,-163.83056750539774,parametric_fixed_p,1.0,0.714951027063831,40.74234949052875,327.6611350107955
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=2 (Fermat),,,,,-163.83153876436074,parametric_fixed_p,2.0,0.7149617930765664,40.66193424405849,327.6630775287215
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric continuous p,,,,,-162.15030385256705,parametric_continuous_p,-0.999,0.6708130492922638,39.27897099308644,324.3006077051341
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=0 (Logarithmic),,,,,-231.2562714122214,parametric_fixed_p,0.0,0.7644465753271957,43.27165165552022,462.5125428244428
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=1 (Archimedean),,,,,-233.43467200171122,parametric_fixed_p,1.0,0.7833883516848853,43.36504271049775,466.86934400342244
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=2 (Fermat),,,,,-237.0076148112272,parametric_fixed_p,2.0,0.8154776188786974,44.70668228572471,474.0152296224544
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric continuous p,,,,,-231.60436438631146,parametric_continuous_p,-0.999,0.745423232620559,42.37263798506424,463.2087287726229
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=0 (Logarithmic),,,,,-230.71801607959102,parametric_fixed_p,0.0,0.7490107469897388,42.5121118076994,461.43603215918205
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=1 (Archimedean),,,,,-230.1964572212896,parametric_fixed_p,1.0,0.7446586002033021,41.94215961118675,460.3929144425792
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=2 (Fermat),,,,,-233.78216185333562,parametric_fixed_p,2.0,0.7750980965165367,42.600502681402006,467.56432370667125
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric continuous p,,,,,-232.69444216345212,parametric_continuous_p,0.3631355460368337,0.7438627156998738,42.138231936812964,465.38888432690425
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),,,,,-231.52937151221207,parametric_fixed_p,0.0,0.745143654518274,42.80378838389902,463.05874302442413
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric p=1 (Archimedean),,,,,-231.3413786006689,parametric_fixed_p,1.0,0.7435888153529381,41.90454804371121,462.6827572013378
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric p=2 (Fermat),,,,,-240.06299275825015,parametric_fixed_p,2.0,0.8192547114497795,44.90693540678639,480.1259855165003
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric continuous p,,,,,-233.65270546133922,parametric_continuous_p,-0.18297316871836247,0.741236593494269,42.917483575159274,467.30541092267845
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=0 (Logarithmic),,,,,-174.879212268793,parametric_fixed_p,0.0,0.7391559091069033,42.162405620942565,349.758424537586
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=1 (Archimedean),,,,,-175.61544626462194,parametric_fixed_p,1.0,0.7472022082705471,42.84384645191857,351.2308925292439
