dataset,n,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,mean_test_mae_deg
Front_EE-1_1_3000x_rings_coords.csv,168,Gaussian RBF RKHS,gaussian_rbf,83.31719959287781,,0.08018917001823848,0.2694293119706725,21.003330822116677
Front_EE-1_1_3000x_rings_coords.csv,168,Uniform RKHS,uniform,62.00955125216084,,0.08018917001823848,0.32455814781126974,24.315299012056546
Front_EE-1_1_3000x_rings_coords.csv,168,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,111.9465567452812,1.0,0.053062911415080655,0.2606773130914347,20.99517199257489
Front_EE-1_2_3000x_rings_coords.csv,129,Gaussian RBF RKHS,gaussian_rbf,79.113986790788,,0.27548217595856467,0.21955173491830254,18.26633118988341
Front_EE-1_2_3000x_rings_coords.csv,129,Uniform RKHS,uniform,58.95041937154416,,0.41631125122654655,0.25541239748668293,20.446106399973818
Front_EE-1_2_3000x_rings_coords.csv,129,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,79.113986790788,0.0,0.27548217595856467,0.21955173491830254,18.26633118988341
Front_EE-1_3_3000x_rings_coords.csv,178,Gaussian RBF RKHS,gaussian_rbf,52.487523869585765,,0.41839981874799476,0.4905366265703356,31.81439753983991
Front_EE-1_3_3000x_rings_coords.csv,178,Uniform RKHS,uniform,52.487523869585765,,0.6322897350794021,0.47742833043249533,31.299603715479115
Front_EE-1_3_3000x_rings_coords.csv,178,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,52.487523869585765,0.0,0.41839981874799476,0.4905366265703356,31.81439753983991
Front_EE-1_4_3000x_rings_coords.csv,179,Gaussian RBF RKHS,gaussian_rbf,29.607015107573815,,0.18351058892087194,0.3934605812509679,27.828819980710698
Front_EE-1_4_3000x_rings_coords.csv,179,Uniform RKHS,uniform,53.51088544392345,,0.05317251448046679,0.41578059054601957,28.800017291724846
Front_EE-1_4_3000x_rings_coords.csv,179,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,29.607015107573815,0.0,0.18351058892087194,0.3934605812509679,27.828819980710698
Front_EE-1_5_3000x_rings_coords.csv,180,Gaussian RBF RKHS,gaussian_rbf,62.63731445632596,,0.6343733754272397,0.3663246035630642,25.052277007855047
Front_EE-1_5_3000x_rings_coords.csv,180,Uniform RKHS,uniform,62.63731445632596,,0.2777766015435682,0.3737650303042315,25.480726445933914
Front_EE-1_5_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,62.63731445632596,0.0,0.6343733754272397,0.3663246035630642,25.052277007855047
Front_EE1_1_3000x_rings_coords.csv,136,Gaussian RBF RKHS,gaussian_rbf,27.97152298005916,,0.6297682895503359,0.1527512180392084,16.246342927830177
Front_EE1_1_3000x_rings_coords.csv,136,Uniform RKHS,uniform,50.37308689740637,,0.6297682895503359,0.20325880207840002,19.466655713340334
Front_EE1_1_3000x_rings_coords.csv,136,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,27.97152298005916,0.0,0.6297682895503359,0.1527512180392084,16.246342927830177
Front_EE1_2_3000x_rings_coords.csv,178,Gaussian RBF RKHS,gaussian_rbf,73.64633724402418,,0.6348270435961727,0.482407553885737,30.584648946203536
Front_EE1_2_3000x_rings_coords.csv,178,Uniform RKHS,uniform,73.64633724402418,,0.08054381594993004,0.48925099619097356,30.85165057027309
Front_EE1_2_3000x_rings_coords.csv,178,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,73.64633724402418,0.0,0.6348270435961727,0.482407553885737,30.584648946203536
Front_EE1_3_3000x_rings_coords.csv,180,Gaussian RBF RKHS,gaussian_rbf,22.638462845343543,,0.03519981577619469,0.3366790540353156,24.605736492634918
Front_EE1_3_3000x_rings_coords.csv,180,Uniform RKHS,uniform,55.092313253609014,,0.6335966839715044,0.3310573483816327,25.199133634508577
Front_EE1_3_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,22.638462845343543,0.0,0.03519981577619469,0.3366790540353156,24.605736492634918
Front_EE1_4_3000x_rings_coords.csv,163,Gaussian RBF RKHS,gaussian_rbf,51.14115511440803,,0.6334417930425164,0.2591810311390663,22.288140110824145
Front_EE1_4_3000x_rings_coords.csv,163,Uniform RKHS,uniform,92.50036904168934,,0.41916216046605814,0.2731889068968133,23.151019587020546
Front_EE1_4_3000x_rings_coords.csv,163,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,51.14115511440803,0.0,0.6334417930425164,0.2591810311390663,22.288140110824145
Front_EE1_5_3000x_rings_coords.csv,180,Gaussian RBF RKHS,gaussian_rbf,99.67518653944141,,0.6343316457154121,0.5044552357257104,31.514995884138454
Front_EE1_5_3000x_rings_coords.csv,180,Uniform RKHS,uniform,74.10355322413912,,0.41975099526187415,0.531158407590574,32.202189391376436
Front_EE1_5_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,242.5666723910242,0.5,0.035240646984189564,0.4875688109804731,30.900928416809496
