dataset,n,model,family,p,gamma,rss,rss_per_point,mae_deg,log_likelihood,bic,bic_log_evidence,k_params
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-2.696407988681843,97.10858387488454,0.5780272849695509,35.44515943798198,-192.3384003084683,389.80076459633983,-194.90038229816992,1
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-3.138287400642824,92.23975762925855,0.5490461763646343,34.363668574070005,-188.01756416969332,381.1590923187899,-190.57954615939494,1
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=2 (Fermat),parametric_fixed_p,2.0,2.2649853146489133e-05,87.1008985556972,0.5184577294981976,33.781810008609526,-183.20234412310654,371.5286522256163,-185.76432611280816,1
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric continuous p,parametric_continuous_p,2.894861379237546,-3.141592463146105,85.06069046444026,0.5063136337169063,33.56608338717856,-181.21135991110103,372.6706477810086,-186.3353238905043,2
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,0.5883261331805473,90.52761273834324,0.7017644398321181,41.290463326670704,-160.1999128678733,325.2596381401083,-162.62981907005414,1
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-3.1091470689880327,101.21386907961676,0.7846036362760989,42.97778723316995,-167.39687939602547,339.6535711964126,-169.8267855982063,1
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-0.07787512000922535,101.69734200173652,0.7883514883855544,44.79634228107251,-167.70424597595053,340.2683043562627,-170.13415217813136,1
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric continuous p,parametric_continuous_p,-0.9189142532375216,-1.5883886735746457,88.57399585236661,0.6866201228865628,40.750392571486074,-158.79274195466857,327.30510871806047,-163.65255435903023,2
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.2993613497555414,125.68177270932318,0.7060773747714786,41.23293523359277,-221.5963487268871,448.3744810040663,-224.18724050203315,1
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,0.010295177698240676,117.55330209451847,0.6604118095197667,39.993613250113285,-215.64569897016608,436.47318149062426,-218.23659074531213,1
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-0.01830629605653088,128.9578252230924,0.7244821641746765,41.86827683180917,-223.8865248383988,452.9548332270897,-226.47741661354485,1
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric continuous p,parametric_continuous_p,2.938312608255959,4.288171302494176e-07,108.32541235968392,0.6085697323577749,36.975112121760645,-208.36976284790447,427.1030927963931,-213.55154639819656,2
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,0.38115552973160366,105.7507603973034,0.5907863709346558,36.89811492332265,-206.88607607436887,418.9595379545785,-209.47976897728924,1
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-3.139899823581488,104.30652206542288,0.5827180003654909,35.95703996669594,-205.65535114048544,416.4980880868116,-208.2490440434058,1
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=2 (Fermat),parametric_fixed_p,2.0,5.540754239591637e-06,104.8273569422978,0.5856276924150715,36.14543980539508,-206.10114039351654,417.3896665928738,-208.6948332964369,1
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric continuous p,parametric_continuous_p,1.2495450753790054,-3.141197573916339,104.19278511618842,0.5820825984144604,35.99538982003109,-205.55770613529285,421.4901838822672,-210.7450919411336,2
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-2.4651631558142326,100.25203614683733,0.5569557563713184,35.294222222222224,-202.73468329720788,410.66232344530596,-205.33116172265298,1
