dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,45.20080288443657,,0.5775212263442764,0.1214288300415996,35.79314296483105
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,21.979124605252267,64.0,0.34919261864643547,0.20473701380608328,24.786739788338615
Front_EE-1_2_3000x_rings_coords.csv,129,RBF pitch kernel smoother,rbf_pitch,68.24657610074021,,0.7386924224377519,0.1786414997335292,41.7772982971119
Front_EE-1_2_3000x_rings_coords.csv,129,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,33.18525124066939,48.0,0.24991933868225286,0.08804061723909432,20.771384793615862
Front_EE-1_3_3000x_rings_coords.csv,178,RBF pitch kernel smoother,rbf_pitch,50.10485720815216,,0.635799931090244,0.17149383767641957,37.84244296453925
Front_EE-1_3_3000x_rings_coords.csv,178,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,83.85871964610999,1.5,0.5057256073999741,0.14559927691488672,34.06400876377257
Front_EE-1_4_3000x_rings_coords.csv,179,RBF pitch kernel smoother,rbf_pitch,36.78568009248582,,0.5869166071097571,0.1929929615014549,35.53079103908198
Front_EE-1_4_3000x_rings_coords.csv,179,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,40.77673693210865,8.0,0.4078460793904791,0.10721982103071531,28.05033786163299
Front_EE-1_5_3000x_rings_coords.csv,180,RBF pitch kernel smoother,rbf_pitch,36.78568009248582,,0.4041720884273607,0.10474766846899085,29.554756002269016
Front_EE-1_5_3000x_rings_coords.csv,180,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,33.18525124066939,3.0,0.3029686320539624,0.12219075020978498,23.455677387553262
Front_EE1_1_3000x_rings_coords.csv,136,RBF pitch kernel smoother,rbf_pitch,1500.0,,0.6301690245032855,0.17010217203185185,37.608214630728796
Front_EE1_1_3000x_rings_coords.csv,136,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,21.979124605252267,64.0,0.2231891107180534,0.09612909170379698,20.04417752368078
Front_EE1_2_3000x_rings_coords.csv,178,RBF pitch kernel smoother,rbf_pitch,55.54097616955662,,0.6399396297165989,0.09618892521652425,39.03014066681525
Front_EE1_2_3000x_rings_coords.csv,178,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,33.18525124066939,48.0,0.5223225912663378,0.20139451984559562,32.80837916511066
Front_EE1_3_3000x_rings_coords.csv,180,RBF pitch kernel smoother,rbf_pitch,40.77673693210865,,0.3957792545612413,0.14585725893814036,28.469383943562814
Front_EE1_3_3000x_rings_coords.csv,180,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,45.20080288443657,8.0,0.3473640299881309,0.15723160290222557,25.98900267081668
Front_EE1_4_3000x_rings_coords.csv,163,RBF pitch kernel smoother,rbf_pitch,40.77673693210865,,0.3408655530131348,0.131392179962234,25.93449305165546
Front_EE1_4_3000x_rings_coords.csv,163,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,19.82789961315042,48.0,0.24552393616051935,0.07348648539364071,22.252627279459137
Front_EE1_5_3000x_rings_coords.csv,180,RBF pitch kernel smoother,rbf_pitch,55.54097616955662,,0.5764482994617873,0.13949478417275055,35.80007761306577
Front_EE1_5_3000x_rings_coords.csv,180,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,29.93721733939893,3.0,0.46138044094843644,0.15265201263112274,30.455451088054737
