Ring,Coordinate,Angle (α′),Pattern
1,"(7.00, 0.00)",-58.67,Clockwise
1,"(0.00, -7.00)",28.54,Anticlockwise
1,"(-7.00, 0.00)",-63.16,Clockwise
1,"(0.00, 7.00)",31.42,Anticlockwise
2,"(42.00, 0.00)",-52.45,Clockwise
2,"(30.00, -30.00)",-24.32,Clockwise
2,"(0.00, -42.00)",16.11,Anticlockwise
2,"(-30.00, -30.00)",62.83,Anticlockwise
2,"(-42.00, 0.00)",-70.32,Clockwise
2,"(-30.00, 30.00)",-11.30,Clockwise
2,"(0.00, 42.00)",52.19,Anticlockwise
2,"(30.00, 30.00)",-83.18,Clockwise
3,"(77.00, 0.00)",-46.44,Clockwise
3,"(67.00, -38.00)",-38.35,Clockwise
3,"(38.00, -67.00)",-29.55,Clockwise
3,"(0.00, -77.00)",-37.31,Clockwise
3,"(-38.00, -67.00)",15.49,Anticlockwise
3,"(-67.00, -38.00)",57.19,Anticlockwise
3,"(-77.00, 0.00)",-75.58,Clockwise
3,"(-67.00, 38.00)",-29.48,Clockwise
3,"(-38.00, 67.00)",18.97,Anticlockwise
3,"(0.00, 77.00)",74.20,Anticlockwise
3,"(38.00, 67.00)",-78.42,Clockwise
3,"(67.00, 38.00)",-51.38,Clockwise
4,"(112.00, 0.00)",-53.02,Clockwise
4,"(103.00, -43.00)",-73.44,Clockwise
4,"(79.00, -79.00)",21.99,Anticlockwise
4,"(43.00, -103.00)",-63.22,Clockwise
4,"(0.00, -112.00)",-76.44,Clockwise
4,"(-43.00, -103.00)",-39.21,Clockwise
4,"(-79.00, -79.00)",-7.29,Clockwise
4,"(-103.00, -43.00)",51.56,Anticlockwise
4,"(-112.00, 0.00)",78.81,Anticlockwise
4,"(-103.00, 43.00)",-64.13,Clockwise
4,"(-79.00, 79.00)",3.35,Anticlockwise
4,"(-43.00, 103.00)",36.51,Anticlockwise
4,"(0.00, 112.00)",-84.86,Clockwise
4,"(43.00, 103.00)",-69.06,Clockwise
4,"(79.00, 79.00)",-56.16,Clockwise
4,"(103.00, 43.00)",-47.16,Clockwise
5,"(148.00, 0.00)",-81.10,Clockwise
5,"(141.00, -46.00)",-88.93,Clockwise
5,"(120.00, -87.00)",67.28,Anticlockwise
5,"(87.00, -120.00)",27.28,Anticlockwise
5,"(46.00, -141.00)",21.51,Anticlockwise
5,"(0.00, -148.00)",-27.87,Clockwise
5,"(-46.00, -141.00)",-39.39,Clockwise
5,"(-87.00, -120.00)",52.40,Anticlockwise
5,"(-120.00, -87.00)",26.40,Anticlockwise
5,"(-141.00, -46.00)",26.89,Anticlockwise
5,"(-148.00, 0.00)",27.51,Anticlockwise
5,"(-141.00, 46.00)",71.07,Anticlockwise
5,"(-120.00, 87.00)",25.35,Anticlockwise
5,"(-46.00, 141.00)",46.56,Anticlockwise
5,"(0.00, 148.00)",-73.60,Clockwise
5,"(46.00, 141.00)",-61.54,Clockwise
5,"(87.00, 120.00)",-44.04,Clockwise
5,"(120.00, 87.00)",-50.67,Clockwise
5,"(141.00, 46.00)",-63.37,Clockwise
6,"(183.00, 0.00)",-75.15,Clockwise
6,"(177.00, -47.00)",-67.25,Clockwise
6,"(158.00, -92.00)",81.31,Anticlockwise
6,"(129.00, -129.00)",60.83,Anticlockwise
6,"(92.00, -158.00)",-8.63,Clockwise
6,"(47.00, -177.00)",29.70,Anticlockwise
6,"(0.00, -183.00)",-3.30,Clockwise
6,"(-47.00, -177.00)",20.99,Anticlockwise
6,"(-92.00, -158.00)",31.49,Anticlockwise
6,"(-129.00, -129.00)",-8.36,Clockwise
6,"(-158.00, -92.00)",13.07,Anticlockwise
6,"(-177.00, -47.00)",5.97,Anticlockwise
6,"(-183.00, 0.00)",6.70,Anticlockwise
6,"(-177.00, 47.00)",51.02,Anticlockwise
6,"(-158.00, 92.00)",26.88,Anticlockwise
6,"(-92.00, 158.00)",18.59,Anticlockwise
6,"(-47.00, 177.00)",-29.50,Clockwise
6,"(0.00, 183.00)",69.42,Anticlockwise
6,"(47.00, 177.00)",-81.21,Clockwise
6,"(129.00, 129.00)",-31.40,Clockwise
6,"(177.00, 47.00)",-74.85,Clockwise
7,"(213.00, -49.00)",-67.05,Clockwise
7,"(196.00, -95.00)",-83.52,Clockwise
7,"(170.00, -136.00)",-66.28,Clockwise
7,"(136.00, -170.00)",42.94,Anticlockwise
7,"(49.00, -213.00)",-27.74,Clockwise
7,"(0.00, -218.00)",-42.11,Clockwise
7,"(-49.00, -213.00)",-59.16,Clockwise
7,"(-95.00, -196.00)",32.30,Anticlockwise
7,"(-136.00, -170.00)",-81.03,Clockwise
7,"(-170.00, -136.00)",28.13,Anticlockwise
7,"(-196.00, -95.00)",-7.65,Clockwise
7,"(-213.00, -49.00)",-25.23,Clockwise
7,"(-218.00, 0.00)",-50.87,Clockwise
7,"(-213.00, 49.00)",34.38,Anticlockwise
7,"(-196.00, 95.00)",34.43,Anticlockwise
7,"(-136.00, 170.00)",20.08,Anticlockwise
7,"(-95.00, 196.00)",-15.78,Clockwise
7,"(-49.00, 213.00)",-41.90,Clockwise
7,"(0.00, 218.00)",-83.42,Clockwise
7,"(49.00, 213.00)",60.83,Anticlockwise
7,"(95.00, 196.00)",-25.13,Clockwise
7,"(213.00, 49.00)",-67.91,Clockwise
8,"(234.00, -97.00)",-44.20,Clockwise
8,"(210.00, -141.00)",17.73,Anticlockwise
8,"(0.00, -253.00)",-60.24,Clockwise
8,"(-49.00, -248.00)",59.03,Anticlockwise
8,"(-141.00, -210.00)",53.75,Anticlockwise
8,"(-210.00, -141.00)",-27.67,Clockwise
8,"(-234.00, -97.00)",-56.90,Clockwise
8,"(-248.00, -49.00)",-67.93,Clockwise
8,"(-253.00, 0.00)",-70.72,Clockwise
8,"(-179.00, 179.00)",9.45,Anticlockwise
8,"(-141.00, 210.00)",4.37,Anticlockwise
8,"(-97.00, 234.00)",-23.78,Clockwise
8,"(0.00, 253.00)",-84.01,Clockwise
8,"(49.00, 248.00)",74.75,Anticlockwise
8,"(97.00, 234.00)",-88.47,Clockwise
8,"(210.00, 141.00)",-15.35,Clockwise
9,"(-221.00, -185.00)",-57.34,Clockwise
9,"(-249.00, -144.00)",-64.41,Clockwise
9,"(-271.00, -99.00)",-80.04,Clockwise
9,"(-221.00, 185.00)",11.80,Anticlockwise
9,"(-144.00, 249.00)",-16.06,Clockwise
9,"(50.00, 284.00)",-59.80,Clockwise
9,"(99.00, 271.00)",63.57,Anticlockwise
9,"(221.00, 185.00)",-36.17,Clockwise
9,"(249.00, 144.00)",-11.91,Clockwise
9,"(271.00, 99.00)",-16.89,Clockwise
9,"(284.00, 50.00)",7.40,Anticlockwise
SUMMARY,n_vectors=129,,Clockwise
